"","Country.Name","Country.Code","Indicator.Code","Indicator.Description","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020"
"1","China","CHN","i1","Internally displaced persons, new displacement associated with conflict and violence (number of cases)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","China","CHN","i2","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206213343,NA,0.190747111,0.13970643,0.108859219,0.14302914,0.072114319,0.364090104,0.335381113,0.392276114,0.352916492,0.250938097,0.1774558,0.130333177,3.288409867,3.588987995,1.778120863,1.679614251,1.606033222,1.710298322,1.691952065,1.507296754,1.772413959,1.602929741,1.946865551,2.642353022,2.873778366,3.434866797,3.839381234,4.895891873,5.397574797,4.042820931,4.247758958,4.461423188,4.553417967,4.676850788,4.590497629,3.457775896,3.820313911,4.090315835,4.075851475,4.323928396,NA
"3","China","CHN","i3","Net barter terms of trade index (2000 = 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.4418605,120.2380952,117.2839506,100,96.59090909,92.55319149,85.10638298,94.50549451,90.72164948,102.173913,102.1052632,101.0309278,103.0927835,101.0416667,102.0408163,101.9417476,105.9405941,110.2040816,110.6382979,104.1237113,100,97.44044044,92.11166635,92.93084125,90.76772409,88.44255469,89.47295338,88.54620904,83.81236263,91.09617167,82.05059399,79.04874299,79.75523623,80.64771598,82.9487988,92.53344984,92.32795521,87.29397864,84.6240051,85.74895269,NA
"4","China","CHN","i4","Merchandise imports from high-income economies (% of total merchandise imports)",NA,80.79509789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.95653461,78.90613955,82.15790823,83.39936664,79.33229362,79.78119251,83.76628881,84.61259599,84.26149729,85.09926497,81.77593985,79.85695251,84.90618999,87.19987661,85.01839555,84.12762311,85.52581629,84.3943547,82.69483983,82.59801003,83.93921074,83.14921614,78.98882025,78.48694569,76.81175636,74.07883852,72.5436348,69.76138121,68.1358013,66.87729988,65.60472781,66.4574797,64.78569191,63.50736655,61.84481375,63.09900867,63.50436372,65.33092567,66.12088407,65.20274432,63.74480444,62.8840404,NA
"5","China","CHN","i5","Share of tariff lines with international peaks, primary products (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.90944,63.20728,63.63066,NA,44.49856,34.56993,33.41003,35.7026,37.20517,36.52144,28.85069,23.40757,17.19168,14.42645,14.92724,18.64407,19.30344,18.47371,14.29845,18.60546,NA,NA,17.61351,18.23052,19.14344,22.47207,13.92848,7.158552,NA
"6","China","CHN","i6","Share of tariff lines with international peaks, manufactured products (%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.44783,78.92074,75.00468,NA,54.24311,43.15132,44.31772,42.13899,43.63533,41.3486,25.73095,22.23613,15.93357,19.83666,11.51856,13.58705,12.15843,12.33983,10.78576,12.40406,NA,NA,16.06497,15.76789,16.82195,13.89561,10.56514,0.901778,NA
"7","China","CHN","i7","Urban population (% of total population)",16.203,16.708,17.226,17.757,18.299,18.086,17.915,17.785,17.656,17.528,17.4,17.292,17.184,17.184,17.292,17.4,17.46,17.52,17.9,18.617,19.358,20.118,20.902,21.545,22.203,22.874,23.559,24.259,24.974,25.701,26.442,27.312,28.2,29.103,30.024,30.961,31.916,32.883,33.867,34.865,35.877,37.093,38.425,39.776,41.144,42.522,43.868,45.199,46.539,47.88,49.226,50.511,51.765,53.013,54.259,55.5,56.736,57.96,59.152,60.308,61.428
"8","China","CHN","i8","Population, total",667070000,660330000,665770000,682335000,698355000,715185000,735400000,754550000,774510000,796025000,818315000,841105000,862030000,881940000,900350000,916395000,930685000,943455000,956165000,969005000,981235000,993885000,1008630000,1023310000,1036825000,1051040000,1066790000,1084035000,1101630000,1118650000,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000,1392730000,1397715000,1402112000
"9","China","CHN","i9","Population ages 65 and above, male (% of male population)",3.026586737,3.05821106,3.033896862,2.971070817,2.890846661,2.800255102,2.869531889,2.939400512,3.003956782,3.055272613,3.092766564,3.162026828,3.225823283,3.287195768,3.352352988,3.42567216,3.541698678,3.661715972,3.786101119,3.913942595,4.044023654,4.206091164,4.359562087,4.502173854,4.628337262,4.734536442,4.829317606,4.901255527,4.961991156,5.029230723,5.115066051,5.189580053,5.291619644,5.410221141,5.527592431,5.635565295,5.802068825,5.935194879,6.049322436,6.165364571,6.291902041,6.428336258,6.576480286,6.728288471,6.864957688,6.979133732,7.098420805,7.198413744,7.289938863,7.389173366,7.507217168,7.663095106,7.820590304,8.003026755,8.242269088,8.555545473,8.985135072,9.480057902,10.00300838,10.49846481,10.93756979
"10","China","CHN","i10","Population ages 35-39, male (% of male population)",5.919494141,5.905192213,5.898749472,5.903041849,5.919873285,5.943034291,5.901438265,5.876478136,5.857089938,5.829030376,5.787612588,5.728692881,5.674589714,5.616575545,5.547675221,5.467875355,5.386650239,5.299751426,5.225864955,5.189227684,5.203978187,5.272184066,5.363205197,5.499478396,5.710383457,6.002264228,6.352485276,6.786565772,7.219466679,7.535278658,7.677200064,7.631785818,7.455295646,7.217390778,7.032101603,6.973374423,7.078494033,7.26246355,7.514525084,7.811856843,8.13141204,8.432441379,8.768400998,9.097665508,9.355434063,9.503434965,9.56359459,9.52769967,9.395306517,9.173885138,8.873582316,8.500234968,8.052052229,7.584341846,7.176342571,6.879642521,6.685844043,6.583946248,6.58737403,6.711418553,6.955054792
