Country Name,Austria,Belgium,Bulgaria,Cyprus,Germany,Denmark,Spain,Estonia,Finland,France,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Slovenia,Sweden
1961,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,,,,,,,,,,,,,,,,,,,,,,,,
1970,4.147160053,,,,,5.955530167,1.833009958,,5.413489819,3.429739952,1.546499968,,,,3.366810083,,2.221940041,,,6.221149921,,,,,
1971,4.282350063,,,,,6.393559933,1.889279962,,5.33137989,3.174210072,1.302459955,,,4.48570013,2.898770094,,2.757839918,,6.15196991,6.328199863,,,,,
1972,4.450150013,,,,,6.481309891,2.064650059,,5.008190155,3.359179974,,,,4.616179943,,,2.647480011,,5.549990177,6.318490028,,,,,
1973,4.515470028,,,,,6.266109943,,,5.093379974,3.23003006,1.112619996,,,4.607840061,,,2.716589928,,5.26970005,5.842949867,,1.633919954,,,
1974,4.655940056,,,,,6.581510067,1.459560037,,4.482309818,4.242040157,1.336089969,,,4.68528986,3.83513999,,,,4.493100166,6.335889816,,1.935359955,,,
1975,5.127960205,5.762819767,,4.335020065,,6.713129997,,,5.033239841,4.42854023,1.46085,,,,3.711610079,,3.306469917,,4.422210217,6.371660233,,3.062459946,,,
1976,5.237659931,5.731040001,,3.819700003,,,1.899389982,,5.228330135,4.424709797,1.448250055,,,4.295820236,3.919519901,,3.491549969,,3.831890106,6.312290192,,3.078730106,,,
1977,4.95401001,5.98883009,,3.385489941,,5.672120094,2.077169895,,,4.435210228,1.493729949,,,5.084519863,,,3.568030119,,3.897609949,6.182509899,,,,,
1978,5.159790039,5.436339855,,3.312340021,,5.753469944,2.230730057,,,4.345119953,1.685700059,,,5.066810131,3.780359983,,4.191579819,,3.348829985,6.184420109,,2.900480032,,,
1979,5.038159847,5.380350113,,3.353130102,,5.586490154,2.338049889,,4.796909809,4.281159878,,,,5.28730011,4.163730145,,4.252860069,,3.153640032,6.090330124,,2.699300051,,,6.37237978
1980,5.008969784,5.310639858,3.52947998,3.426009893,,5.910930157,,,4.825749874,4.307690144,,,,5.321380138,,,4.397019863,,,5.892799854,,3.067430019,,,6.53704977
1981,5.367809772,5.435319901,,3.791320086,,,,,4.833360195,4.730720043,1.692800045,,,5.73112011,,,4.52835989,,2.865329981,5.749370098,,3.185750008,,,6.781199932
1982,5.362989902,5.316730022,,3.731780052,,,,,4.779290199,4.8520298,1.686840057,,,5.388689995,,,5.095980167,,2.854079962,5.695010185,,3.329099894,,,
1983,5.303780079,,,,,,,,4.855609894,4.852340221,1.688680053,,,5.445690155,4.488059998,,3.206640005,,3.314690113,5.500790119,,3.23281002,,,
1984,5.294469833,,,3.601910114,,,,,4.698919773,4.867539883,1.810029984,,,5.280869961,4.774569988,,,,3.078720093,5.090109825,,3.142539978,,,
1985,5.297210217,,,3.586960077,,,,,5.04542017,4.851570129,,,,5.247539997,4.689809799,,,,3.248339891,5.472879887,,3.262490034,,,
1986,5.499959946,4.852290154,,3.488970041,,5.83825016,,,5.100399971,4.707950115,1.83336997,,,5.30038023,4.654900074,,3.660769939,,3.105720043,5.56155014,,3.049249887,,,
1987,5.376110077,4.577129841,,3.448709965,,6.078080177,3.128180027,,5.200819969,4.623439789,1.834210038,,,5.52794981,,,3.944000006,,3.16531992,5.897920132,,3.157979965,,,
1988,5.190730095,4.300720215,,3.375469923,,6.335330009,3.328299999,,5.066959858,4.544720173,1.868939996,,,5.015369892,4.5927701,,3.877629995,,3.338239908,5.471459866,,3.387530088,,,
1989,5.01816988,,,3.376270056,,5.838140011,3.551779985,,5.072609901,4.456399918,2.015460014,,,4.712279797,,,3.740530014,,3.58874011,,,3.475239992,,,
1990,4.957250118,,4.454060078,3.339240074,,,3.633589983,,5.338900089,4.513939857,2.046080112,,,4.599840164,,,,,3.831419945,5.228789806,,3.56972003,,,5.212190151
