Country Name,Austria,Belgium,Bulgaria,Cyprus,Germany,Denmark,Spain,Estonia,Finland,France,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Slovenia,Sweden
1960,935.4604269,1273.691659,,,,,396.3922533,,1179.353011,1334.689512,520.3227443,,,685.6147124,804.4926233,,2242.015817,,,1068.784587,,360.4992985,,,2114.002973
1961,1031.815004,1350.197673,,,,,450.0532892,,1327.427224,1428.046001,590.7800548,,,739.2764064,887.3367446,,2222.366366,,,1159.392357,,382.729947,,,2288.921701
1962,1087.834243,1438.523233,,,,,520.2061314,,1411.702398,1578.284538,617.0577577,,,797.0062884,990.2601522,,2311.798849,,,1240.677894,,407.8528436,,,2468.694589
1963,1167.000532,1535.023729,,,,,609.4873841,,1522.319242,1744.640123,695.2286244,,,852.1353017,1126.019337,,2441.038555,,,1328.036649,,432.5117296,,,2657.022505
1964,1269.412583,1701.846276,,,,,675.2416391,,1707.503938,1909.54162,783.705881,,,965.1354227,1222.54454,,2755.633117,,,1541.947365,,468.7810816,,,2941.048899
1965,1374.53214,1835.594766,,,,,774.7616093,,1882.086858,2038.163102,899.2812389,,,1023.773726,1304.453817,,2780.092719,,,1708.096356,,520.9106594,,,3206.09917
1966,1486.968606,1957.62608,,,,2487.136181,889.659872,,2010.213456,2186.474592,997.4304675,,,1074.506506,1402.442354,,2900.433218,,,1835.801424,,575.0076807,,,3454.429789
1967,1569.667183,2086.636005,,,,2700.74629,968.3067818,,2034.18905,2343.104503,1068.114556,,,1152.004952,1533.692877,,2909.660629,,,1991.360686,,646.8227201,,,3720.926845
1968,1677.673528,2222.361511,,,,2776.13539,950.5457406,,1907.077272,2536.085114,1154.438531,,,1124.516636,1651.939377,,3175.367369,,,2185.248659,,719.0804919,,,3926.409001
1969,1825.386126,2458.08182,,,,3151.133161,1077.6787,,2178.03525,2752.095114,1324.058989,,,1291.34992,1813.388126,,3658.900683,,,2642.956118,,795.7593714,,,4234.161348
1970,2058.769051,2765.890997,,,2761.166833,3464.455156,1212.289326,,2465.644819,2857.251682,1494.387984,,,1486.514527,2106.863959,,4449.5411,,828.4216803,2927.072939,,934.0821561,,,4736.217154
1971,2380.978458,3082.927989,,,3192.133616,3845.506089,1362.165524,,2716.190092,3169.036323,1652.325956,,,1703.932183,2305.609751,,4591.748708,,874.0663356,3378.614797,,1064.537713,,,5132.711607
1972,2924.048879,3831.6319,,,3809.981445,4654.298936,1708.808629,,3177.645701,3854.555835,1899.675784,,,2080.465147,2671.137314,,5680.130953,,975.7588009,4104.45103,,1302.266268,,,6027.128499
1973,3890.722419,4900.962201,,,5046.755103,6119.370222,2247.553377,,4173.173047,4969.762978,2502.814745,,,2424.269047,3205.25204,,7709.728501,,1143.620203,5345.575444,,1747.989041,,,7301.215426
1974,4630.757197,5733.798139,,,5639.077621,6770.750027,2749.924663,,5297.607817,5328.241548,2828.748559,,,2516.927686,3621.145822,,9282.806942,,1245.361225,6440.97842,,2000.418246,,,8089.914585
1975,5285.620724,6701.377361,,976.3342448,6236.358881,7999.112667,3209.837445,,6255.544641,6690.57827,3153.235776,,,2973.400123,4106.993868,,9008.029113,,1560.112154,7335.508997,,2127.637507,,,10117.30668
1976,5678.386658,7243.047341,,1157.411648,6634.856899,8787.589722,3279.312671,,6739.690713,6866.816892,3390.544976,,,2919.583087,4033.099354,,9825.239715,,1726.559448,7925.688062,,2173.283934,,,10868.27577
1977,6810.627685,8426.946959,,1476.271543,7682.953775,9783.852022,3627.590663,,7069.105738,7532.52696,3886.374451,,,3427.073436,4603.599701,,10855.98186,,2037.897337,9166.808195,,2267.371003,,,11448.61939
1978,8205.468977,10289.76842,,1929.403607,9482.04285,11826.01861,4356.43922,,7628.815714,9264.775293,4694.633782,,,4399.986805,5610.498099,,13493.85152,,2558.740255,11179.38956,,2457.313216,,,12620.51861
1979,9793.765348,11810.61588,,2559.259675,11281.02332,13751.99895,5770.214614,,9332.245264,11179.6329,5705.949371,,,5429.962001,6990.285807,,15740.28939,,3195.552586,12798.54325,,2755.624618,,,14877.16429
1980,10869.54649,12864.00257,2238.802958,4232.022939,12138.3081,13883.88714,6208.578019,,11223.93756,12713.36517,5893.661893,,,6372.437775,8456.918974,,17113.84263,,3948.403126,13791.86226,,3368.366669,,,17097.83265
1981,9385.249064,10622.80248,2234.814816,4033.240478,10209.07312,12081.80105,5371.166436,,10926.81797,11104.98134,5380.26762,,,5986.154109,7622.833328,,14324.89286,,3898.243037,11520.44787,,3245.975214,,,15586.43008
1982,9410.347257,9343.8611,2169.004011,4122.784499,9913.737642,11804.43289,5159.708645,,10938.12206,10496.92855,5579.234615,,,6160.638293,7556.523437,,13034.81214,,3788.050632,11072.65845,,3079.949566,,,13738.9723
1983,9537.40742,8846.234298,1852.813434,4091.048498,9864.34494,11857.89214,4478.500286,,10497.48,9993.421182,5019.878771,,,5915.241772,7832.575387,,12810.21883,,3527.04,10680.35904,,2735.491066,,,12608.22915
1984,8991.06504,8457.268803,1963.572676,4258.743589,9313.169412,11562.91908,4489.988939,,10833.86629,9419.696143,4852.565667,,,5692.027386,7739.715284,,12554.41776,,3332.885357,9977.160217,,2522.747476,,,13099.02083
1985,9172.09676,8750.818513,1914.550647,4488.287003,9429.569217,12253.10021,4699.655764,,11398.10595,9763.327404,4813.711205,,,6011.735546,7990.686566,,12921.95842,,3322.421283,9926.129971,,2705.193002,,,13666.85775
1986,13083.07266,12170.0407,2260.427281,5642.631476,13461.831,17201.08881,6513.503286,,14951.04679,13540.24637,5656.505332,,,8112.171363,11315.01518,,18789.65732,,4194.653939,13783.85011,,3861.948433,,,17981.01941
1987,16392.76952,15135.85231,3132.30136,6690.577975,16677.51079,21340.72786,8239.613802,,18571.05993,16302.44738,6564.884427,,,9581.913086,14234.72864,,23234.56512,,5083.669139,16709.55968,,4803.866095,1673.838364,,21792.55891
1988,17578.61894,16391.09383,2511.393063,7645.629767,17931.28232,22527.04673,9703.123838,,22047.79332,17679.99669,7598.028005,,,10715.87028,15744.66126,,26108.34455,,5814.364771,17744.50138,,5623.697,1769.889931,,24534.69382
1989,17468.94614,16525.06174,2477.020818,8038.914242,17764.37645,21901.05475,10681.9712,,23973.23948,17694.30932,7846.678122,,,11175.8166,16386.66221,,27556.36413,,6040.609862,17397.69168,,6056.381028,1817.902101,,25662.22059
1990,21680.98962,20600.37528,2366.529821,9641.575273,22303.96133,26891.44645,13804.87679,,28364.64508,21793.83554,9600.185235,,,14031.30257,20825.78422,,34645.14324,,7191.923603,21290.86038,1731.209531,7884.617988,1680.705623,,30593.67244
1991,22410.91177,21041.66065,1267.734375,9696.099593,23357.75773,27011.37746,14811.90282,,25484.73929,21675.06499,10188.36978,,3350.258323,14087.20744,21956.52977,,37007.43753,,7558.277383,21732.23076,2235.541089,8958.985333,1260.749045,,31822.80385
1992,24880.16412,23372.61917,1211.980878,11310.07192,26438.23039,29569.66036,16112.18892,,22319.05946,23813.71225,11176.45842,,3735.10582,15714.38475,23243.47453,,40965.74304,,8220.245518,23904.03742,2459.020685,10810.56651,1102.103785,,32800.98269
1993,24081.52779,22283.93602,1278.247173,10526.14177,25522.62957,27597.97523,13339.90856,,17608.81239,22380.10775,10401.98301,,3873.987723,14657.06155,18738.7639,,41479.08838,,7296.310144,23122.41077,2497.195241,9534.656364,1158.132516,,24425.28493
1994,25646.70066,24208.55479,1148.494399,11617.69278,27076.60675,29995.57962,13415.287,,20301.33309,23496.52015,11091.28385,,4173.373024,15902.92968,19337.6309,,45481.89101,,8000.518005,24646.31431,2874.825311,9977.319909,1323.104325,,26083.61439
1995,30325.84958,28413.82644,2258.286018,15261.41056,31658.34938,35351.36546,15471.96272,3134.389753,26271.59981,26890.21762,12959.32429,4877.568417,4494.707624,19158.45648,20664.55227,2167.792582,52831.25237,2328.227538,9857.480771,29258.13435,3686.8193,11781.36185,1650.276481,10730.45101,30282.96392
1996,29809.07677,27489.55518,1470.103703,15139.22613,30485.86655,35650.71409,16109.0844,3380.926302,25783.45049,26871.83127,13749.11511,5232.85176,4525.039103,20835.89771,23081.60468,2327.434857,52571.93499,2429.212478,10062.73358,29006.80945,4147.465501,12185.0914,1633.010644,10815.11105,32998.96816
1997,26705.4786,24820.93805,1361.392386,14234.24438,26964.04947,32835.93994,14730.79718,3682.952301,24691.87281,24228.94639,13427.83251,5263.447002,4596.182622,22551.11391,21829.34582,2830.278071,47042.34711,2680.644643,9909.894481,26700.53713,4123.135618,11575.50711,1577.323357,10454.96564,30312.4876
1998,27361.87511,25338.44329,1820.405094,15092.82625,27289.05936,33368.14242,15394.35146,4093.392477,26009.26949,24974.27386,13472.13761,5640.328953,4744.212264,24294.85477,22318.1373,3166.666533,47584.46439,2970.586351,10409.30845,27885.80838,4518.108226,12199.20639,1852.467309,11175.77103,30596.5272
1999,27174.29716,25244.27505,1659.718346,15287.91913,26725.91522,33440.79481,15715.33227,4140.936602,26177.34798,24673.20305,13245.18944,5198.092739,4793.478522,26329.21443,21997.62432,3113.17906,51654.4028,3148.071543,10633.60338,28263.09671,4398.081043,12471.07936,1599.889533,11452.78312,30941.07936
2000,24564.45829,23041.53473,1621.242961,14388.34806,23635.92922,30743.54768,14713.06571,4070.609024,24285.46682,22364.02939,12042.95371,4841.606375,4624.281657,26269.18162,20087.59199,3293.229979,48735.99549,3357.586436,10432.32812,26149.41108,4501.454067,11497.75346,1659.90764,10201.30354,29624.91267
2001,24537.51426,22995.15752,1770.913534,14821.44682,23607.88286,30751.65435,15355.70317,4505.858332,24946.18919,22433.55498,12538.17887,5362.022897,5276.033189,28257.93859,20483.21599,3525.793632,48179.42085,3573.302729,10402.23337,26873.27593,4991.244358,11724.6115,1825.179805,10479.75963,27247.85773
2002,26401.74546,24887.56133,2092.957694,16093.21461,25077.72908,33228.69354,17025.53198,5341.628947,26869.6749,24177.33556,14110.31337,6232.655595,6655.333009,32550.27907,22270.14412,4141.592702,52930.64115,4131.800002,11289.88984,29204.03983,5207.171421,12875.32079,2119.882673,11777.15566,29899.19525
2003,32222.89724,30587.66841,2719.497656,20252.23898,30243.57653,40458.7774,21463.44266,7203.523038,32855.13263,29568.3888,18477.57836,8059.420173,8421.103313,41112.74822,27465.6753,5499.428989,65445.88503,5135.352925,13669.49712,35672.2066,5701.602212,15762.97579,2679.41191,14849.03724,37321.7979
2004,36821.52147,35364.37533,3389.707049,23792.62136,34044.05363,46511.59833,24861.2828,8914.103557,37702.84538,33741.26192,21955.10414,9661.169574,10285.79363,47666.54708,31259.7165,6700.327192,75716.35108,6363.723387,15197.05671,40362.39478,6681.386472,18031.00042,3494.944517,17233.13856,42821.67314
2005,38403.13388,36795.97688,3899.907638,24959.25917,34507.36881,48799.8256,26419.29686,10412.64431,39040.28888,34760.18502,22551.73577,10527.89268,11200.57695,50914.03129,32043.14037,7854.765279,80289.69641,7575.183393,15888.17232,41979.05585,8021.505743,18773.12536,4617.929016,18098.90854,43437.06312
2006,40635.28182,38672.70594,4523.050833,26729.3234,36323.44774,52026.99951,28365.31349,12639.40007,41188.0937,36443.62631,24801.15778,11695.94466,11475.82271,54283.68178,33501.65817,9230.707981,89739.7117,9699.721662,16723.88418,44863.35063,9035.410467,19822.84603,5757.496429,19672.96556,46593.60216
2007,46855.77175,44262.896,5885.104348,31244.92622,41587.2129,58487.05497,32549.97098,16744.58445,48414.84509,41508.43269,28827.32639,13937.44839,13918.96019,61318.46603,37822.66524,12285.44705,106018.4928,14091.04765,19485.87119,51733.44213,11254.51739,22782.09462,8360.166321,23787.64656,53700.00534
2008,51708.76575,48106.89292,7265.735497,35397.36368,45427.15168,64322.0635,35366.2596,18204.96648,53554.03892,45334.11796,31997.28202,16296.80592,15753.47328,61103.51347,40778.34274,14944.99665,114293.8433,16422.11198,22205.35681,57644.47997,13996.02515,24847.54514,10435.04398,27483.33717,56152.55234
2009,47963.1794,44583.54481,6988.233325,32109.24251,41485.90165,58163.27688,32042.47408,14711.73527,47293.99283,41575.42196,29710.97023,14540.6416,13046.48101,51927.23096,37079.75867,11820.77616,103198.6693,12288.21383,21083.27715,52514.02712,11526.05589,23059.79745,8548.118672,24694.23049,46946.96027
2010,46858.04327,44141.87814,6812.406338,31023.63833,41531.9342,58041.39844,30502.71971,14663.04461,46459.97325,40638.33525,26690.60742,13949.3265,13191.62126,48607.94052,36000.52012,11987.50841,104965.3061,11379.79806,21799.17426,50950.03434,12613.011,22498.69086,8214.076893,23509.54314,52869.04429
2011,51374.95841,47348.52502,7809.425062,32396.38574,46644.77603,61753.64713,31636.44631,17464.92008,51081.99767,43790.72602,25450.53412,14609.52435,14216.16561,52108.83323,38599.06221,14376.94786,115761.5077,13776.08878,23155.55479,54159.34661,13879.56099,23186.91313,9099.217539,25095.13229,60755.75955
2012,48567.69529,44673.11588,7395.849803,28912.15694,43858.36306,58507.50805,28324.42934,17404.2008,47710.79022,40874.70039,21915.19132,13258.35985,12950.68652,49028.82739,35053.52624,14367.70942,106749.0136,13923.47398,22527.63676,50073.00566,13097.27085,20564.88986,8507.104775,22643.10025,58037.82132
2013,50716.70871,46744.66254,7655.129708,27729.1927,46285.76407,61191.1937,29059.54795,19050.58592,49878.04324,42592.93539,21749.15248,13674.4178,13687.51406,51518.3881,35549.9747,15729.65247,113625.1329,15122.73528,24771.07658,52184.06185,13696.4663,21647.04181,9547.852151,23496.6025,61126.9432
2014,51717.49594,47700.54036,7876.866465,27163.33297,47959.99327,62548.98473,29461.55033,20234.11742,50260.29986,43011.2631,21601.7764,13599.40978,14267.01215,55525.89725,35518.41529,16551.0182,118823.6484,15713.53697,26754.26845,52830.17423,14271.30585,22074.30076,10043.67745,24214.92207,60020.36046
2015,44178.04738,40991.80814,7055.935673,23408.33668,41086.72967,53254.85637,25732.01836,17395.04062,42784.69836,36638.18493,18050.09761,11781.73479,12706.89121,61987.551,30230.2263,14258.22933,101376.4966,13774.60527,24921.60368,45175.23189,12578.49547,19242.36647,8969.148921,20881.76693,51545.48361
2016,45276.83144,41984.10303,7548.855007,24605.92083,42107.51727,54663.99837,26505.34322,18282.92339,43784.28396,37037.37419,17885.39281,12361.48383,13090.50673,62818.96636,30939.71425,14998.12506,104278.391,14315.79289,25741.44606,46007.85292,12447.43959,19978.40121,9548.587403,21663.64341,51965.15715
