Country Name,Austria,Belgium,Bulgaria,Cyprus,Germany,Denmark,Spain,Estonia,Finland,France,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Slovenia,Sweden
1960,,,,,,,,,,12.37989495,14.56990184,,,,,,,,,,,,,,21.56486213
1961,,,,,,,,,,12.2639094,14.12113036,,,,,,,,,,,,,,19.96164809
1962,,,,,,,,,,11.96007451,14.75848566,,,,,,,,,,,,,,19.68629217
1963,,,,,,,,,,12.23155783,15.2725669,,,,,,,,,,,,,,19.80365843
1964,,,,,,,,,,12.91074836,16.71815632,,,,,,,,,,,,,,20.14581901
1965,,,,,,,,,,12.38517704,17.01907716,,,,,,,,,,,,,,20.74627567
1966,,,,,,29.61402948,,,,12.9898824,15.62064636,,,,,,,,,,,,,,20.1886446
1967,,,,,,28.8088085,,,,13.11742699,15.2281928,,,,,,,,,,,,,,19.31831352
1968,,,,,,28.35609779,,,,13.38922842,15.64925971,,,,,,,,,,,,,,19.86306876
1969,,,,,,28.79330527,,,,14.69572647,15.59885635,,,,,,,,,39.88790512,,,,,21.20210857
1970,27.46863443,42.77102548,,,16.58220097,29.98370402,13.69091857,,25.55131217,15.43779535,15.22699834,,,41.33424996,14.93530982,,68.60544061,,71.35881317,43.30423182,,24.10320275,,,22.34419688
1971,27.34511658,41.81661767,,,16.28357598,28.84984437,12.88091602,,24.87435334,15.52727688,15.16236603,,,39.87971884,14.81603492,,76.45574073,,68.93919556,41.96642421,,25.02390503,,,21.00259922
1972,27.36535323,41.07716074,,,16.1796327,26.8147474,13.84165602,,24.13719724,15.84732278,16.18776183,,,36.69323079,15.50928129,,69.52671798,,67.45877162,39.3284211,,24.89471737,,,20.54579928
1973,27.53745283,46.11215017,,,16.34794913,29.86675404,14.78560189,,24.90348296,16.88125017,20.09286169,,,41.21625525,17.95921996,,69.38703745,,75.91179317,40.7456258,,26.29672254,,,22.3251915
1974,30.45336257,52.37771955,,,18.71593475,34.00487775,18.5108462,,29.5340083,21.72548682,21.26118655,,,52.56910757,22.27887663,,73.75854011,,101.0805316,45.65466177,,32.89059049,,,29.8715343
1975,28.5044981,45.60771211,,56.69259635,18.79620545,30.32997196,16.7101532,,28.1989647,17.85853584,21.18132017,,,44.82472051,18.66819227,,79.825979,,86.33232589,42.95813184,,25.55018202,,,25.68074737
1976,31.16375564,48.26137557,,62.62354908,20.29843151,32.76955831,17.51063062,,25.72105057,20.26469855,20.83001955,,,49.82838385,21.14744828,,74.52404503,,86.49140424,44.22018856,,24.05518769,,,26.56852402
1977,32.32363958,48.17027252,,67.76175102,20.12400332,31.92494475,15.91174418,,25.53868432,20.40240281,20.68136482,,,53.78303734,20.42988197,,74.9580332,,90.42914378,43.72977318,,26.09337606,,,26.32235021
1978,30.55289489,46.55095976,,62.92201839,19.54384946,29.63456783,13.84567385,,24.76561583,19.19567431,19.48386616,,,55.0116429,19.58943128,,74.59136562,,80.53208908,42.56943214,,25.36889978,,,24.63889642
1979,32.43644404,51.65053204,,63.76627067,21.39995013,31.61488493,14.13184287,,28.53495166,20.31767158,20.3584322,,,60.78813478,21.32519001,,78.66776132,,84.61932514,46.6875551,,29.5365987,,,28.45312767
1980,35.13193407,52.9381673,30.68861231,63.06720982,23.23284683,32.95309552,17.26981457,,32.12407523,22.52008766,25.26174183,,,57.94090638,22.78655686,,80.8179643,,86.40644099,49.40853958,,32.7799908,,,28.72119949
1981,35.39588802,56.15783009,34.52261126,63.3219216,24.04828745,34.66895626,19.09673719,,30.30971708,23.4410816,25.75086864,,,57.59940707,23.61668752,,81.08862957,,80.5703546,49.98093131,,35.24548784,,,27.91009992
1982,32.37561727,59.82203774,33.21648916,64.24041496,23.51785523,34.96503376,19.55131556,,28.70125926,23.85369009,24.64242831,,,50.93309599,22.38831723,,82.10173991,,76.5605912,49.60475842,,35.07855666,,,30.54685298
1983,31.99398599,59.99993593,36.93962019,63.97466377,23.28416629,33.71173238,20.69320585,,28.71502764,22.70350124,24.69940507,,,50.78222215,19.85677886,,81.56602438,,73.65833491,50.2272585,,34.37624293,,,31.23742741
