Country Name,Austria,Belgium,Bulgaria,Cyprus,Germany,Denmark,Spain,Estonia,Finland,France,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Slovenia,Sweden
1960,,,,,,,,,,22.51996413,,,,,,,,,,,,,,,
1961,,,,,,,,,,22.70605613,,,,,,,,,,,,,,,
1962,,,,,,,,,,21.92035989,,,,,,,,,,,,,,,
1963,,,,,,,,,,21.82963915,,,,,,,,,,,,,,,
1964,,,,,,,,,,21.82884602,,,,,,,,,,,,,,,
1965,,,,,,,,,,21.59849258,,,,,,,,,,,,,,,
1966,,,,,,18.12863913,,,,21.4473716,,,,,,,,,,,,,,,
1967,,,,,,17.67901325,,,,21.00843151,,,,,,,,,,,,,,,
1968,,,,,,17.56098154,,,,20.57881105,,,,,,,,,,,,,,,
1969,,,,,,17.22553207,,,,20.12530481,,,,,,,,,,23.42207864,,,,,
1970,,,,,,16.87950079,,,,20.09976292,,,,,,,,,17.2484473,22.6986811,,,,,
1971,,,,,,16.64438469,,,,20.34923533,,,,,,,,,16.10758183,21.92483501,,,,,
1972,,,,,,16.18366539,,,,19.69300964,,,,,,,,,19.73929961,21.61570502,,,,,
1973,,,,,,16.35473823,,,,20.0930388,,,,,,,,,21.13808816,21.03848544,,,,,
1974,,,,,,16.61643088,,,,20.30167123,,,,,,,,,23.42250357,23.55883363,,,,,
1975,,,,14.31905766,,16.64800601,,,23.14413301,19.69127847,,,,,,,,,25.78382863,19.16090899,,,,,
1976,22.25272837,,,17.25066696,,15.99082458,,,23.04555404,19.60551993,,,,,,,,,27.62220361,18.69248897,,,,,
1977,21.62662025,,,17.77357132,,15.96106522,,,22.34965234,19.54909764,,,,,,,,,27.71768178,17.56365043,,,,,
1978,21.98835928,,,18.2823311,,15.3474262,,,23.03527674,19.33709106,,,,,,,,,27.84705358,17.05407922,,,,,
1979,21.35194357,,,17.59288274,,15.24426147,,,24.01602736,18.86190703,,,,,,,,,28.09467493,17.06957241,,,,,
1980,21.20322678,,,17.54570283,,16.00966572,,,24.20298898,18.49480931,,,,,,,,,26.94342672,16.32961071,,,,,20.86871477
1981,20.7536504,,,17.60273646,,15.52517532,,,23.38245725,18.0479818,,,,,,,,,25.46110353,15.84568086,,,,,19.84919755
1982,20.13716414,,,17.02605426,,15.25144422,,,22.65729038,17.46858729,,,,,,,,,24.78586027,15.66698056,,,,,19.81834579
1983,20.06034939,,,16.53030612,,15.53485478,,,22.28178924,17.48714858,,,,,,,,,24.01699252,15.43292637,,,,,20.22050548
1984,19.69468677,,,16.09092043,,15.99433316,,,22.29517396,17.26348245,,,,,,,,,24.76217061,16.54187405,,,,,21.14645682
1985,20.01729915,,,15.64566198,,15.90840882,,,21.71001803,17.31660351,,,,,,,,,24.41302605,16.09657652,,,,,21.22115525
1986,20.00853927,,,15.02279823,,15.63582011,,,20.75829837,16.93416123,,,,,,,,,24.08699587,16.55004742,,,,,20.948626
1987,19.41139561,,,15.37467696,,15.06963699,,,21.14271369,16.50722035,,,,,,,,,22.74280153,16.82196722,,,,,20.74942298
1988,19.50496551,,,15.46169596,,14.75142894,,,20.7069588,16.37511281,,,,,,,,,22.123924,16.99535181,,,,,20.4535442
1989,19.40399042,,,14.69715022,,14.78649458,,,20.45499528,16.17546918,,,,,,,,,22.35820495,16.98649783,,,,,19.85283841
1990,19.58111475,,,14.15659113,,14.86523508,,,19.50988907,16.20726575,,,,,20.02445854,,,,21.88382646,16.70054599,,,,,18.37945664
1991,19.17173885,,,14.19972266,24.84676504,14.64727609,,,17.15900068,15.91757847,,,,,19.0964914,,,,21.34522952,16.00440938,,,31.72557739,,16.69308616
1992,18.47963499,,,13.43581737,23.37679048,14.77702506,,,18.10525819,15.59298416,,,,,18.57668821,,,,20.06877487,15.60259628,,,30.03217674,,15.86866834
1993,17.46020695,,,12.77368959,21.32161358,14.31942623,,,19.83362113,15.06454231,,,,,18.39870481,,,,19.56983379,15.3659291,,,26.64430669,,16.22611389
1994,17.35652011,,,12.14835445,20.8047334,14.44914708,,,20.99086491,14.69487663,,,,,18.67633521,,,,19.84902646,15.20116993,,,28.7054063,,17.72945463
1995,17.90587952,18.3362939,,9.537174316,20.53868606,14.71712153,16.26724969,16.98041471,22.23259495,14.88295316,10.98397321,18.44534816,18.18896757,20.68710675,18.99765159,16.73275407,11.63743092,17.62803717,18.72696924,15.34773492,19.37518113,15.93852858,23.87065409,21.57388496,19.75903791
1996,17.63220929,18.16805585,,9.408272374,20.0593844,14.17684246,16.34781471,16.3168178,21.39337598,14.4765569,10.08110969,16.57049672,18.06899592,20.43953797,18.64706862,16.16374128,10.32722675,17.09627874,18.12597681,14.68581792,18.32288717,16.57597698,25.56091221,21.74272687,19.23376919
1997,17.80353465,18.39943062,,9.301222425,20.22889631,14.62612149,16.65883513,16.53460899,21.65837898,14.6741472,9.081216612,16.92614254,19.73487078,21.79010252,18.45550902,16.00432845,10.69300605,18.23964775,17.42376151,14.23020436,17.64565178,16.52892634,23.94265121,22.23682367,19.5458926
1998,17.726769,18.15923392,,8.933761953,20.40984502,14.52702323,16.55254652,14.8435691,22.9103375,14.66680869,8.989042328,16.08995603,19.97961661,23.24454282,18.35672654,15.69120259,10.89780407,14.80911566,17.92284007,14.16680404,17.33429089,15.99806655,21.39176442,22.27039257,19.86167527
1999,17.89093266,17.30709231,,8.630085143,19.99461029,14.2552354,16.29968962,14.48756513,22.82690914,14.44340788,9.536658425,16.08158051,19.33784837,23.53153356,17.83117808,15.13736588,9.544310638,13.56180639,17.44192432,13.63351364,16.79865981,15.62998949,19.37982527,22.0039201,19.68461829
2000,18.21496707,17.53597445,,8.14938696,20.54597006,14.14484978,16.23259052,15.46717285,24.15018836,14.47755794,9.492626959,16.81259603,19.10706293,23.11914115,17.57324471,16.78196247,9.629492839,13.62370168,19.30754845,13.35311179,16.052736,15.04933732,19.81289205,21.66002002,20.1587442
2001,18.34109299,17.04054213,,7.745847797,20.34116748,14.03654837,15.83254041,16.05029233,23.60193047,14.03042517,9.939171782,16.50216148,19.17471605,25.24987023,17.14256511,17.24665716,9.135401218,13.62138972,15.82852704,13.12315696,14.54306069,14.67786461,22.02077835,21.92983427,19.21743989
2002,17.72678281,16.79458705,,7.733646026,19.78991138,13.93329255,15.24097061,15.6718116,22.86747572,13.58509008,9.83591206,15.37259615,18.55766414,26.74511048,16.80621398,16.30783535,8.569805805,13.56037339,15.587484,12.54227886,14.30829806,14.19466495,21.80926831,21.54101632,18.67144973
2003,17.45317461,16.20023741,,7.340458229,19.83957098,13.23748034,14.70484852,15.74685405,21.94742634,13.09391378,9.154802761,14.9810081,18.57477844,23.35858488,16.1305153,16.68874275,8.799577971,12.38230078,15.54675866,12.17702463,15.51705007,13.47633714,21.0476788,21.69442316,18.08070201
2004,17.33646035,16.08993608,,7.209166682,20.03385605,12.7491453,14.1706722,14.92020575,21.54285138,12.68471772,8.74617037,15.15825885,18.98420668,21.12736231,15.89619774,18.24094609,8.449008621,12.28337579,13.52829153,12.26652509,16.42926574,13.05271226,21.24200462,21.43999377,17.39032731
2005,17.40781847,15.87094598,,6.802585239,20.06974579,12.03514944,13.70917565,14.66701401,21.21539648,12.24929993,8.586484883,14.42455647,19.05415402,19.59207962,15.54880231,18.26509563,7.925629615,11.43140052,12.98212181,12.30188624,16.00920719,12.56677653,21.26789929,20.60883101,17.15572902
2006,17.82343621,15.01853751,,6.131199352,20.65976823,12.06611493,13.33521946,14.46820051,21.81067341,11.7271803,8.458220589,13.91689418,19.71469013,18.57305851,15.60536871,17.58897358,7.143271452,10.58390742,12.44296944,11.92891577,16.30278157,12.34319807,21.10539481,20.47089989,17.15140752
2007,18.15364762,15.06031828,,5.742788814,20.85415375,11.95154943,12.89911384,13.87000594,22.12998204,11.62968228,8.463891123,13.99911693,19.08567983,17.97273941,15.95543409,15.9083629,8.121093833,10.03644353,12.43313877,12.00478059,16.32149004,12.24363323,21.02806472,20.37507795,17.18175406
