Country Name,Austria,Belgium,Bulgaria,Cyprus,Germany,Denmark,Spain,Estonia,Finland,France,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Slovenia,Sweden
1960,1.458185699,3.397347867,,,3.769862862,2.728877556,2.250747022,,1.769041048,5.428485885,4.85730296,,,1.330386743,2.713825988,,1.003878481,,,3.703901797,,3.38405785,,,3.77697094
1961,1.309337523,3.259070074,,,3.739906276,2.586811645,2.031244826,,1.83618152,5.295607539,4.24357,,,1.320142085,2.573869075,,1.107037773,,,4.087283879,,5.147584345,,,3.720613331
1962,1.352071859,3.284752167,,,4.49596722,3.018273104,2.267745892,,2.513178309,5.15887135,4.048429712,,,1.290219976,2.633838357,,1.286695578,,,4.12277525,,5.596694296,,,3.863444293
1963,1.579667758,3.216630963,,,4.899283975,3.041523894,1.96963292,,1.927141787,4.740085717,3.82448464,,,1.242817134,2.753437954,,1.181274271,,,4.010834482,,5.238006244,,,3.967277242
1964,1.887300243,3.213471659,,,4.38429972,2.842914471,1.930558573,,1.859273032,4.540250267,3.57356211,,,1.303207865,2.727355898,,1.378997744,,,3.932652684,,5.444184996,,,3.866197738
1965,1.507213387,2.973063602,,,4.091072451,2.832137733,1.884866825,,1.797340383,4.395319514,3.498464921,,,1.326908055,2.747580162,,1.350729508,,,3.571290331,,5.049745669,,,3.912630749
1966,1.624405132,3.112586029,,,3.909296838,2.636749699,2.07961936,,1.713951314,4.290103274,3.584687388,,,1.234360458,2.988719981,,1.341391863,,,3.370284285,,5.101761199,,,3.858013271
1967,1.609166416,3.134581624,,,4.077676294,2.588210924,1.851956944,,1.615521153,4.295245947,4.345707668,,,1.187126848,2.76774694,,1.102537024,,,3.523335806,,5.91066904,,,3.61145185
1968,1.542674749,3.115090011,,,3.40638729,2.67593415,2.297672519,,1.7550744,4.136846038,4.690180266,,,1.132851299,2.648961592,,0.913192529,,,3.25633492,,5.962344003,,,3.476546878
1969,1.499256567,2.931814996,,,3.398622894,2.391607631,2.434167534,,1.437477698,3.679751727,4.78878606,,,1.099280371,2.422400827,,0.816405625,,,3.228928603,,5.480624392,,,3.459280733
1970,1.380130121,2.918640097,,,3.012630644,2.429119966,2.286616226,,1.375854017,3.458557717,4.197302194,,4.030075188,1.158609296,2.058210054,,0.754877387,,,2.866235554,,5.479120254,,,3.358668261
1971,1.246106954,2.898925919,,,3.060213562,2.362222189,2.107971746,,1.449046875,3.316093048,4.119199173,,3.741685144,1.243945132,2.238970947,,0.788807001,,,2.838829535,,5.735850739,,,3.410036785
1972,1.202286665,2.880760041,,,3.167507566,2.179973346,2.317782098,,1.530845544,3.23030459,3.956525145,,3.273657289,1.328811011,2.391176016,,0.816920465,,,2.81854,,5.377378291,,,3.40796435
1973,1.184988573,2.835311133,,,3.159617333,1.975807583,2.110741725,,1.45370204,3.143719205,3.517709064,,3.006993007,1.312694901,2.195817414,,0.782484941,,,2.70299725,,4.607416987,,,3.278587306
1974,1.276882519,2.761416188,,,3.26114133,2.234843932,2.207563937,,1.270178667,3.086440581,4.824468835,,3.20784139,1.406932356,2.070626774,,0.758205637,,,2.653471661,,5.74977274,,,3.215397049
1975,1.451278364,3.065034539,,,3.283216161,2.397249542,2.004262233,,1.50815982,3.197145464,5.847321622,,3.335405013,1.625958967,1.975232168,,0.962665327,,,2.843860129,,4.098346607,,,3.081603138
1976,1.365196811,3.093369534,,,3.135566594,2.204203185,2.321046932,,1.340124617,3.156139584,5.829227384,,3.006239365,1.615162499,1.828143669,,0.98621721,,,2.688909449,,3.122774087,,,3.003112902
1977,1.345951891,3.143248647,,,3.038293711,2.216303129,2.314232663,,1.405352011,3.23156861,5.918535654,,2.95532646,1.52517744,1.890808512,,1.003382631,,,2.954457522,,2.741239805,,,3.101082115
1978,1.429212612,3.261522061,,,3.049444552,2.271821195,2.357957301,,1.429444105,3.151487314,5.575444512,,3.239637923,1.483083547,1.879755105,,1.028492958,,,2.747070531,,2.772590291,,,3.147775488
1979,1.433845732,3.261345018,,,2.964182383,2.251527372,2.497064901,,1.47900931,3.139395443,5.181248329,,3.239044409,1.582200567,1.873959467,,1.016876383,,,2.840232828,,2.686171631,,,3.123357423
1980,1.420246106,3.250195386,,,2.96134976,2.363092523,2.489895785,,1.67093548,3.155205085,4.660805995,,3.34257975,1.665267012,1.763643237,,1.153185523,,,2.784298566,2.652329749,2.683661123,2.204542655,,2.923451596
1981,1.380051733,3.366049436,,,3.041879689,2.438666392,2.582108745,,1.545586731,3.24613261,5.735701309,,3.333760739,1.580606618,1.821112506,,1.21027323,,,2.863119442,2.913185616,2.651814213,2.201223579,,2.948237147
