Country Name,Austria,Belgium,Bulgaria,Cyprus,Germany,Denmark,Spain,Estonia,Finland,France,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Slovenia,Sweden
1960,7047539,9153489,7867374,572933,72814900,4579603,30455000,1211537,4429634,46621688,8331725,4140181,9983967,2828600,50199700,2778550,313970,2120979,326550,11486631,29637450,8857716,18406905,1584720,7484656
1961,7086299,9183948,7943118,576402,73377632,4611687,30739250,1225077,4461005,47240526,8398050,4167292,10029321,2824400,50536350,2823550,316845,2152681,325250,11638712,29964000,8929316,18555250,1594131,7519998
1962,7129864,9220578,8012946,577696,74025784,4647727,31023366,1241623,4491443,47904879,8448233,4196712,10061734,2836050,50879450,2863350,320750,2181586,323900,11805689,30308500,8993985,18676550,1603649,7561588
1963,7175811,9289770,8078145,577918,74714353,4684483,31296651,1258857,4523309,48582624,8479625,4225675,10087947,2852650,51252000,2898950,324100,2210919,322550,11965966,30712000,9030355,18797850,1616971,7604328
1964,7223801,9378113,8144340,578628,75318337,4722072,31609195,1277086,4548543,49230585,8510429,4252876,10119835,2866550,51675350,2935200,327750,2240623,321250,12127120,31139450,9035365,18919126,1632114,7661354
1965,7270889,9463667,8204168,580972,75963695,4759012,31954292,1294566,4563732,49818019,8550333,4280923,10147935,2877300,52112350,2971450,331500,2265919,318800,12294732,31444950,8998595,19031576,1649160,7733853
1966,7322066,9527807,8258057,585313,76600311,4797381,32283194,1308597,4580869,50330268,8613651,4310701,10178653,2888800,52519000,3008050,333895,2283217,315200,12456251,31681000,8930990,19215450,1669905,7807797
1967,7376998,9580991,8310226,591301,76951336,4835354,32682947,1318946,4605744,50775788,8684088,4338683,10216604,2902450,52900500,3044400,334995,2301220,311550,12598201,31987155,8874520,19534242,1689528,7867931
1968,7415403,9618756,8369603,598495,77294314,4864883,33113134,1331214,4626469,51175507,8740765,4365628,10255815,2915550,53235750,3078850,335850,2323619,307900,12729721,32294655,8836650,19799831,1704546,7912273
1969,7441055,9646032,8434172,606121,77909682,4891860,33441054,1345249,4623785,51561833,8772764,4391490,10298723,2932650,53537950,3107321,337500,2343173,304300,12877984,32548300,8757705,20009141,1713874,7968072
1970,7467086,9655549,8489574,613618,78169289,4928757,33814531,1360076,4606307,51957747,8792806,4412252,10337910,2957250,53821850,3139689,339171,2359164,302650,13038526,32664300,8680431,20250398,1724891,8042801
