Country Name,Austria,Belgium,Bulgaria,Cyprus,Germany,Denmark,Spain,Estonia,Finland,France,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Slovenia,Sweden
1960,6592693841.0,11658722591.0,,,,,12072126075.0,,5224102196.0,62225478001.0,4335186017.0,,,1939329775.0,40385288344.0,,703925705.9,,,12276734172.0,,3193200404.0,,,15822585034.0
1961,7311749633.0,12400145222.0,,,,,13834300571.0,,5921659485.0,67461644222.0,4961400439.0,,,2088012282.0,44842760293.0,,704145671.4,,,13493833740.0,,3417516639.0,,,17212686615.0
1962,7756110210.0,13264015675.0,,,,,16138545209.0,,6340580854.0,75607529810.0,5213047711.0,,,2260349684.0,50383891899.0,,741509480.8,,,14647057370.0,,3668222358.0,,,18667251380.0
1963,8374175258.0,14260017387.0,,,,,19074913948.0,,6885920329.0,84759195106.0,5895278024.0,,,2430843768.0,57710743060.0,,791140595.8,,,15891241386.0,,3905734460.0,,,20204870630.0
1964,9169983886.0,15960106681.0,,,,,21343844644.0,,7766655086.0,94007851047.0,6669673257.0,,,2766608946.0,63175417019.0,,903158753.9,,,18699380731.0,,4235608178.0,,,22532416750.0
1965,9994070616.0,17371457608.0,,,,,24756958695.0,,8589340019.0,101537000000.0,7689154053.0,,,2945704143.0,67978153851.0,,921600736.3,,,21000586933.0,,4687464055.0,,,24795499686.0
1966,10887682273.0,18651883472.0,,,,11931739859.0,28721062242.0,,9208524505.0,110046000000.0,8591517944.0,,,3104034393.0,73654870011.0,,968440149.5,,,22867203317.0,,5135387846.0,,,26971486546.0
1967,11579431669.0,19992040788.0,,,,13059064375.0,31647119228.0,,9368954010.0,118973000000.0,9275600800.0,,,3343636773.0,81133120065.0,,974721762.5,,,25087562181.0,,5740241166.0,,,29275995675.0
1968,12440625313.0,21376353113.0,,,,13505573867.0,31475548481.0,,8823033880.0,129785000000.0,10090675903.0,,,3278584478.0,87942231678.0,,1066447131.0,,,27817605743.0,,6354262628.0,,,31066819929.0
1969,13582798556.0,23710735895.0,,,,15414902267.0,36038711600.0,,10070766721.0,141903000000.0,11615657031.0,,,3787077344.0,97085082807.0,,1234878981.0,,,34035946604.0,,6969025826.0,,,33738102482.0
