geography_desc,year_desc,category,commodity_desc,amount,unit_desc
China,2008,Agricultural inputs,Ag employment (primary industry),306.54,million
China,2008,Agricultural inputs,Total fertilizer consumption,52390,1000 tons
China,2008,Animals slaughtered,Cattle,44461,1000
China,2008,Animals slaughtered,Hogs,610166,1000
China,2008,Crop production,Apples,29847,1000 tons
China,2008,Crop production,Bananas,7835,1000 tons
China,2008,Crop production,Beans,20430,1000 tons
China,2008,Crop production,Citrus,23313,1000 tons
China,2008,Crop production,Corn,165910,1000 tons
China,2008,Crop production,Cotton,7492,1000 tons
China,2008,Crop production,Fiber crops,625,1000 tons
China,2008,Crop production,Fruit,192202,1000 tons
China,2008,Crop production,Grain,528710,1000 tons
China,2008,Crop production,Oil crops,29528,1000 tons
China,2008,Crop production,Peanuts,14286,1000 tons
China,2008,Crop production,Pears,13538,1000 tons
China,2008,Crop production,Rapeseed,12102,1000 tons
China,2008,Crop production,Rice,191900,1000 tons
China,2008,Crop production,Sesame seed,586,1000 tons
China,2008,Crop production,Sugar beets,10044,1000 tons
China,2008,Crop production,Sugar cane,124152,1000 tons
China,2008,Crop production,Tea,1258,1000 tons
China,2008,Crop production,Tobacco,2838,1000 tons
China,2008,Crop production,Tubers,29800,1000 tons
China,2008,Crop production,Vegetables,592403,1000 tons
China,2008,Crop production,Wheat ,112460,1000 tons
China,2008,Crop sown area,Cotton,5754,1000 hectares
China,2008,Crop sown area,Grain,106793,1000 hectares
China,2008,Crop sown area,Oil crops,12825,1000 hectares
China,2008,Crop sown area,Total sown area,156266,1000 hectares
China,2008,Industrial output of selected products,Chemical fibers,24150,1000 tons
China,2008,Industrial output of selected products,Cigarettes,22199,100 million pieces
China,2008,Industrial output of selected products,Cloth,71000,Million meters
China,2008,Industrial output of selected products,Household refrigerators,47569,1000 units
China,2008,Industrial output of selected products,Sugar,14490,1000 tons
China,2008,Industrial output of selected products,"Tractors, large and medium",217,1000 tons
China,2008,Industrial output of selected products,Yarn,21489,1000 tons
China,2008,Livestock inventories,Camels,240,1000
China,2008,Livestock inventories,Cattle & buffalo,105760,1000
China,2008,Livestock inventories,Donkeys,6731,1000
China,2008,Livestock inventories,Hogs,462913,1000
China,2008,Livestock inventories,Horses,6821,1000
China,2008,Livestock inventories,Large animals,122507,1000
China,2008,Livestock inventories,Mules,2955,1000
China,2008,Livestock inventories,Sheep & goats,280849,1000
China,2008,Livestock products,Aquatic products,48949,1000 tons
China,2008,Livestock products,Beef ,6132,1000 tons
China,2008,Livestock products,Cow milk,35538,1000 tons
China,2008,Livestock products,Eggs,27017,1000 tons
China,2008,Livestock products,Meat,72787,1000 tons
China,2008,Livestock products,Mutton,3803,1000 tons
China,2008,Livestock products,Other milk,2277,1000 tons
China,2008,Livestock products,Pork ,46205,1000 tons
China,2008,Macroeconomic data,Employment: Primary industry,306.54,million
China,2008,Macroeconomic data,Exchange rate,6.95,Yuan per US$
China,2008,Macroeconomic data,"Exports: Edible oils, fats & waxes",5.7,Million U.S. dollars
China,2008,Macroeconomic data,Exports: Food & live animals used for food,327.6,Million U.S. dollars
China,2008,Macroeconomic data,Exports: Tobacco & beverages,15.3,Million U.S. dollars
China,2008,Macroeconomic data,GDP per capita,22698,Yuan
China,2008,Macroeconomic data,GDP: Primary industry,34000,Billion yuan
China,2008,Macroeconomic data,Gross domestic product,300670,Billion yuan
China,2008,Macroeconomic data,"Imports: Edible oils, fats & waxes",104.9,Million U.S. dollars
China,2008,Macroeconomic data,Imports: Food & live animals used for food,140.5,Million U.S. dollars
China,2008,Macroeconomic data,Imports: Tobacco & beverages,19.2,Million U.S. dollars
China,2008,Macroeconomic data,Population,132802,10000
China,2008,Macroeconomic data,Rural employment,47270,10000
China,2008,Macroeconomic data,Rural population,72135,10000
China,2008,Macroeconomic data,Total employment,77480,10000
China,2008,Macroeconomic data,Total exports (million),1428550,Million U.S. dollars
China,2008,Macroeconomic data,Total imports (million),1133090,Million U.S. dollars
China,2008,Macroeconomic data,Total wages (100 million yuan),33713.8,100 million yuan
China,2008,Macroeconomic data,Urban population,60667,10000
China,2008,Price indexes,Ag product farm price ,114.1,Previous year=100
China,2008,Price indexes,Ag product farm price: Cattle,123.6,Previous year=100
China,2008,Price indexes,Ag product farm price: Cereals,107.1,Previous year=100
China,2008,Price indexes,Ag product farm price: Chickens,111.9,Previous year=100
China,2008,Price indexes,Ag product farm price: Corn,107.3,Previous year=100
China,2008,Price indexes,Ag product farm price: Cotton,90.6,Previous year=100
China,2008,Price indexes,Ag product farm price: Eggs,112.2,Previous year=100
China,2008,Price indexes,Ag product farm price: Fresh water fish,114.6,Previous year=100
China,2008,Price indexes,Ag product farm price: Fruit,101.4,Previous year=100
China,2008,Price indexes,Ag product farm price: Livestock & poultry,123.9,Previous year=100
China,2008,Price indexes,Ag product farm price: Oilseeds,128,Previous year=100
China,2008,Price indexes,Ag product farm price: Pigs,130.8,Previous year=100
China,2008,Price indexes,Ag product farm price: Rice paddy,106.6,Previous year=100
China,2008,Price indexes,Ag product farm price: Soybean,119.7,Previous year=100
China,2008,Price indexes,Ag product farm price: Vegetables,104.7,Previous year=100
China,2008,Price indexes,Ag product farm price: Wheat,108.7,Previous year=100
China,2008,Price indexes,Consumer price index,105.9,Previous year=100
China,2008,Price indexes,CPI: Alcohol beverages,107.5,Previous year=100
China,2008,Price indexes,CPI: Dairy,117,Previous year=100
China,2008,Price indexes,CPI: Edible oils,125.4,Previous year=100
China,2008,Price indexes,CPI: Eggs,104.3,Previous year=100
China,2008,Price indexes,CPI: Fish & shrimp,114.2,Previous year=100
China,2008,Price indexes,CPI: Food,114.3,Previous year=100
China,2008,Price indexes,CPI: Fruit & melons,110.8,Previous year=100
China,2008,Price indexes,CPI: Grain,107,Previous year=100
China,2008,Price indexes,CPI: Meat,121.7,Previous year=100
China,2008,Price indexes,CPI: Sugar,104,Previous year=100
China,2008,Price indexes,CPI: Tea & beverages,103.7,Previous year=100
China,2008,Price indexes,CPI: Tobacco,100.4,Previous year=100
China,2008,Price indexes,CPI-vegetables,111,Previous year=100
China,2008,Price indexes,Ex-factory price of clothing products,102.2,Previous year=100
China,2008,Price indexes,Ex-factory price of food products,108.3,Previous year=100
China,2008,Price indexes,Raw materials purchase price index - ag sideline products ,107.5,Previous year=100
China,2008,Price indexes,Retail price index,105.9,Previous year=100
China,2008,Price indexes,Rural CPI,106.7,Previous year=100
China,2008,Price indexes,Urban CPI,105.5,Previous year=100
China,2008,Rural per capita consumption,Alcoholic beverages,9.7,Kilograms
China,2008,Rural per capita consumption,Aquatic products,5.2,Kilograms
China,2008,Rural per capita consumption,Edible oils,6.2,Kilograms
China,2008,Rural per capita consumption,Fine grains (wheat & rice),173.7,Kilograms
China,2008,Rural per capita consumption,Fresh eggs,5.4,Kilograms
China,2008,Rural per capita consumption,Grain ,199.1,Kilograms
China,2008,Rural per capita consumption,Per capita food expenditures,1598.7,Kilograms
China,2008,Rural per capita consumption,Per capita living expenditures,3660.7,Kilograms
China,2008,Rural per capita consumption,Per capita net income,4760.6,Kilograms
China,2008,Rural per capita consumption,"Pork, beef & mutton",13.9,Kilograms
China,2008,Rural per capita consumption,Poultry,4.4,Kilograms
China,2008,Rural per capita consumption,Sugar,1.1,Kilograms
China,2008,Rural per capita consumption,Vegetables,99.7,Kilograms
China,2008,Urban per capita consumption,Beef & mutton,3.4,Kilograms
China,2008,Urban per capita consumption,Edible vegetable oils,10.3,Kilograms
China,2008,Urban per capita consumption,Fresh eggs,10.7,Kilograms
China,2008,Urban per capita consumption,Per capita disposable income,15780.8,Yuan
China,2008,Urban per capita consumption,Per capita food expenditures,4259.8,Yuan
China,2008,Urban per capita consumption,Per capita living expenditures,11242.9,Yuan
China,2008,Urban per capita consumption,Pork,19.3,Kilograms
China,2008,Urban per capita consumption,Vegetables,123.2,Kilograms
China,2007,Agricultural inputs,Ag employment (primary industry),314.44,million
China,2007,Agricultural inputs,Compound fertilizer,15030,1000 tons
China,2007,Agricultural inputs,Cultivated land area,121735,1000 hectares
China,2007,Agricultural inputs,Irrigated area,56518.3,1000 hectares
China,2007,Agricultural inputs,Irrigated area by mech/elec pump,37761.6,1000 hectares
China,2007,Agricultural inputs,Nitrogenous fertilizer,22972,1000 tons
China,2007,Agricultural inputs,Pesticide use,1623,1000 tons
China,2007,Agricultural inputs,Phosphate fertilizer,7730,1000 tons
China,2007,Agricultural inputs,Potash fertilizer,5336,1000 tons
China,2007,Agricultural inputs,Rural electricity consumption,550.99,Billion kwh
China,2007,Agricultural inputs,Total fertilizer consumption,51078,1000 tons
China,2007,Agricultural inputs,Total power of ag machinery,76589.6,10000 kw
China,2007,Animals slaughtered,Camels,74,1000
China,2007,Animals slaughtered,Cattle,43594.9,1000
China,2007,Animals slaughtered,Donkeys,2161,1000
China,2007,Animals slaughtered,Hogs,565083,1000
China,2007,Animals slaughtered,Horses,1512.5,1000
China,2007,Animals slaughtered,Mules,579.5,1000
China,2007,Animals slaughtered,Poultry,9580000,1000
China,2007,Animals slaughtered,Rabbits,440872.5,1000
China,2007,Animals slaughtered,Sheep & goats,255707.1,1000
China,2007,Crop production,Apples,27860,1000 tons
China,2007,Crop production,Bananas,7797,1000 tons
China,2007,Crop production,Beans,17201,1000 tons
China,2007,Crop production,Citrus,20583,1000 tons
China,2007,Crop production,Corn,152300,1000 tons
China,2007,Crop production,Cotton,7624,1000 tons
China,2007,Crop production,Dates,3030.62266,1000 tons
China,2007,Crop production,Early rice,31515,1000 tons
China,2007,Crop production,Fiber crops,728,1000 tons
China,2007,Crop production,Fruit,181363,1000 tons
China,2007,Crop production,Grain,501603,1000 tons
China,2007,Crop production,Grapes,6697,1000 tons
China,2007,Crop production,Late rice,33513,1000 tons
China,2007,Crop production,Melons,76160,1000 tons
China,2007,Crop production,Middle rice,121005,1000 tons
China,2007,Crop production,Millet,1507,1000 tons
China,2007,Crop production,Muskmelon,10341,1000 tons
China,2007,Crop production,Oil crops,25687,1000 tons
China,2007,Crop production,Peaches,9052,1000 tons
China,2007,Crop production,Peanuts,13027,1000 tons
China,2007,Crop production,Pears,12895,1000 tons
China,2007,Crop production,Pineapple,905.09044,1000 tons
China,2007,Crop production,Rapeseed,10573,1000 tons
China,2007,Crop production,Rice,186034,1000 tons
China,2007,Crop production,Sesame seed,557,1000 tons
China,2007,Crop production,Sorghum,1920,1000 tons
China,2007,Crop production,Soybeans,12725,1000 tons
China,2007,Crop production,Strawberries,1872,1000 tons
China,2007,Crop production,Sugar beets,8931,1000 tons
China,2007,Crop production,Sugar cane,112951,1000 tons
China,2007,Crop production,Sunflowerseed,1187,1000 tons
