Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.600697472,3.092279566,3.967816952,5.815737983,5.61212678,3.792574967,5.296523643,6.30314766,3.370637338,3.280212543,3.705588265,6.569147249,2.199878004,1.048271456,5.62905761,4.527475306,2.098111468,2.170963513,3.332794823,2.945294623,5.949806916,5.072878451,1.727073333,-0.677054173,3.107300649,0.789086084,3.286685576,2.003480469,0.439923993,-1.371485004,1.614051547,,,
Africa Eastern and Southern,AFE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.861701136,0.979877966,3.285363658,3.726977623,3.569950903,4.05454687,1.35648539,3.397722794,5.221106475,4.736090108,4.664180023,10.18139846,11.90087581,15.43908606,11.93375313,10.03770758,10.80487889,11.18179352,15.12342211,19.20529476,10.85307727,7.697471776,11.55684173,11.47755752,16.8151829,13.50928432,11.73578352,20.08110092,14.79823437,11.92630484,12.5319619,14.25313768,13.37686413,10.97042674,12.81651843,14.45311141,9.018940746,8.269554878,8.006813278,11.11730588,8.312825089,8.151950541,8.112711761,9.839590573,7.40752901,9.343887793,8.201428558,13.10712552,7.504520796,6.351038347,9.430270472,7.123843367,5.310514701,5.435781984,5.570651194,6.378607159,6.382441453,4.453472713,3.991138022,5.510380752
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.65523821,11.27143207,10.91277355,7.199751289,22.5277562,2.096288749,-2.163404428,3.814630317,16.59334673,7.301756471,4.822785479,0.566944541,2.447563002,-2.197526466,2.403656188,2.071348579,6.521479845,5.497477854
Africa Western and Central,AFW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,3.336148292,2.432663329,3.013917156,2.906177951,2.752431713,4.143078923,1.280375351,2.031464939,4.838560996,3.710455212,4.189196488,5.145810773,7.198996005,13.42263913,8.586772086,12.05477256,11.04310831,7.667391548,11.17393953,11.97824902,10.62528702,13.82055905,9.927936399,11.31505003,5.297213502,0.020467795,1.684563425,3.4085566,3.584859041,6.668941872,3.073498966,0.738816824,2.378321824,25.06204274,7.680834092,5.387927812,3.667509174,5.231604748,7.612078194,5.28980486,4.3199575,1.882577942,1.410573723,5.681951339,6.688933944,4.64332214,4.761878299,9.576757409,1.614920339,5.515377075,8.789841293,4.730094835,1.573135368,0.280788088,2.001874271,1.575733711,2.799971632,2.23284618,1.709743837,1.591079536
Angola,AGO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-2.100306165,0,0.01276356,0.001188112,19.03520574,-9.01306192,9.823311352,2.213774449,16.27966269,14.00743982,106.3099823,476.5157509,917.7834684,2175.978955,1825.495149,4800.531644,95.45302218,39.35934833,557.5011131,418.0189915,106.3521255,196.9841052,93.92685444,33.44017865,42.3755606,17.11809761,4.30841553,19.3699206,-16.76108205,32.26344232,31.77154919,7.255670453,2.839789071,3.560820798,-3.518386388,21.77424002,22.61451153,29.06595449,28.09067716,15.09699747
Albania,ALB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-2.139571986,-0.0177191,-0.016755172,-0.028360257,0.351222347,-2.417300429,-0.000306093,-0.00057858,0.003679161,-0.431368813,35.51424696,232.9846589,125.6508142,35.84247522,9.97066268,38.17211191,11.23968182,6.730245156,2.103478599,5.643782073,3.813932918,3.644149917,5.197105399,3.156943939,3.303491113,2.480665739,4.389899684,4.117185731,2.422645898,4.493106682,2.314785504,1.04242473,0.288751645,1.549878619,0.563958925,-0.632442859,1.451115725,1.359400395,0.477277009,-0.964778964
Andorra,AND,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,7.845870992,8.518077713,11.84943386,15.9452013,16.78179541,16.48985721,23.38309256,20.63104141,16.93168907,13.35481385,12.35117322,13.58234983,11.88423525,10.86473437,8.595463761,10.87881526,5.94419881,5.936124989,6.896207148,7.326243654,6.935148362,6.710768961,4.537232147,3.879858322,4.933121049,0.797177729,2.228160307,1.499553843,2.731979525,28.7415529,3.080535179,3.23953177,3.177484216,3.042423998,3.39610213,3.457184087,3.211227341,2.27433832,0.132136132,0.374313758,0.196764152,0.174556906,0.4484922,-0.084019317,0.660588959,0.347795382,1.136509343,1.01247848,1.374753508,1.057525327
Arab World,ARB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,1.112975943,3.467698425,6.561872549,2.88672356,11.3940363,24.39472609,5.914022109,9.511812969,9.794714912,8.417213279,13.98783792,17.47229366,11.41074801,6.529705855,7.255798771,6.981202746,4.972526402,7.260251667,8.842020422,5.383194826,8.703414505,14.82779268,7.864711092,5.716743769,4.691343344,7.873717058,7.111222126,5.064819641,4.73548256,-1.715244866,6.626893976,10.4423447,0.715797567,3.970747733,5.016239685,11.02378422,14.1601135,9.418743551,8.349756142,17.00835541,-8.70527002,12.49017594,15.52937335,4.606815226,1.307292036,0.377809577,-3.707013017,0.989907573,6.088027823,7.064889165,1.50416621,0.24979241
United Arab Emirates,ARE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,11.77433135,5.255756091,-3.661111495,7.051020544,9.515976035,7.054483982,1.312868729,-3.618017219,-6.097467186,0.74053289,-1.698485297,3.685584803,2.381045732,1.751276609,3.335900494,0.810848725,1.80682612,1.278036305,-0.262474922,3.907479754,5.773043907,-0.952300706,-4.254445321,8.443377455,11.4595358,-2.349307672,3.770839549,4.072406796,8.501422059,16.52630693,11.96214928,12.53396067,18.53335308,-15.18297988,12.49017594,13.16538942,2.237634058,-0.867150016,-0.905520847,-15.47857303,-3.265365198,5.495148052,8.206537296,-1.899927664,
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,20.31069753,28.87184165,25.59115435,28.77461732,21.23293492,25.60346243,29.01826294,10.27531056,7.795830037,6.467874639,31.27106388,64.24478592,65.53528737,30.63044137,197.6973645,438.3227797,159.4271777,161.372172,147.377044,95.79042461,105.2763664,194.5352997,380.1585285,611.1963039,607.4474978,77.29223669,127.5399181,381.2463444,3046.091152,2078.316818,140.5023787,16.07199354,-3.561095576,2.849339715,3.16512339,-0.052375497,-0.463913131,-1.705279624,-1.836558392,1.037287101,-1.095767718,30.55520405,10.49570302,18.36335425,10.3175112,13.74105249,14.93992502,23.17116498,15.37764937,20.91512427,23.70347218,22.31488067,23.94879842,40.28297163,26.5799916,41.11937999,26.00637928,40.01216527,50.6225684,39.84085682
