Country Name,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,,,,,,,,,,,,,,,,,,,,11.26579138,5.309910797,,,,,,,,,25.40087875,,,,,,,,,,21.80539273,,,,,,,,,,,,,,,,,,,,,,,,,,,19.71224117,,,,,,,,,,,22.51996413,,,,,,,,,,,,,,,,,9.32145305,,,11.33621332,,,,,,,,,,,,14.75011809,,,8.542499712,,,,,,,,,8.708580112,,,,,11.40238534,,,,,,,,,,,,16.36119803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.26098023,,,,,,,,,,,,,,,11.30278929,,18.08435183,24.59171506,,,,,21.65021573,,,,,,,,,,,,13.77783858,,4.462009179,,10.57754705,,,,,3.048874946,,,,,,,,,,,,,,,,6.057908423,,,7.744099076,12.53676604,,,,,,,13.77783858,,,,12.7753304,,,8.148184859,,,,,,,,,,,,,,,,19.22010719,3.766780204,
1961,,,,,,,,,,,,,,,,,,,,10.62596029,5.470588542,,,,,,,,,27.51917686,,,,,,,,,,22.1665623,,,,,,,,,,,,,,,,,,,,,,,,,,,19.30331562,,,,,,,,,,,22.70605613,,,,,,,,,,,,,,,,,9.88700565,,,11.24368332,,,,,,,,,,,,15.35383648,,,8.909956412,,,,,,,,,9.186091769,,,,,11.94935198,,,,,,,,,,,,15.92727127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00974236,,,,,,,,,,,,,0.613496933,,11.61474532,,18.1013039,24.84936407,,,,,,,,,,,,,,,,,14.28996775,,4.415218412,,10.30033751,,,,,2.870708681,,,,,,,,,,,,,,,,6.58449686,,,6.451604849,12.99299911,,,,,,,14.28996775,,,,13.21279555,,,8.156186641,,,,,,,,,,,,,,,,19.84196664,4.883052934,
1962,,,,,,,,,,,,,,,,,,,,11.12549825,5.448665141,,,,,,,,,23.94883903,,,,,,,,,,23.62413732,,,,,,,,,,,,,,,,,,,,,,,,,,,19.47095099,,,,,,,,,,,21.92035989,,,,,,,,,,,,,,,,,10.65230401,,,11.37330754,,,,,,,,,,,,15.86329813,,,9.956708908,,,,,,,,,8.621472313,,,,,11.69573061,,,,,,,,,,,,16.57101722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.55286111,,,,,,,,,,,,,0.497512438,,12.75030451,,18.27142127,24.93926766,,,,,,,,15.04827495,,,,,,,,,14.82480887,,4.367567568,,10.73024157,,,,,2.703260302,,,,,,,,,,,,,,,,5.875977482,,,5.555549606,14.04412573,,,,,,,14.82480887,,,,13.07596513,,,7.264951279,,,,,,,,,,,,,,,,19.95057661,4.822753504,
1963,,,,,,,,,,,,,,,,,,,,11.13631641,5.359331468,,,,,,,,,27.17961179,,,,,,,,,,23.66262276,,,,,,,,,,,,,,,,,,,,,,,,,,,19.91420665,,,,,,,,,,15.95330739,21.82963915,,,,,,,,,,,,,,,,,13.17623631,,,11.59190639,,,,,,,,,,,,15.75238835,,,10.38073275,,,,,,,,,8.692306019,,,,,12.84375362,,,,,,,,,,,,16.37767407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.383326393,,,,,,,,,,,,,0.46728972,,13.71757664,,16.76410972,25.01922026,,,,,24.12152897,,,14.83831555,,,,,,,,,14.8165859,,4.697130712,,11.69455322,,,,,2.545501388,,,,,,,,,,,,,,,,6.190556986,,,9.686595704,14.18072173,,,,,,,14.8165859,,,,12.87553648,,,8.23245093,,,,,,,,,,,,,,,,20.60615065,5.485986881,
1964,,,,,,,,,,,,,,,,,,,,10.89629248,5.514048718,,,,,,,,,24.38544369,,,,,,,,,,24.26504189,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5030532,,,,,,,,,,16.36690647,21.82884602,,,,,,,,,,,,,,,,,11.08116202,,,11.64113786,,,,,,,,,,,,14.85073996,,,10.59922486,,,,,,,,,9.579482506,,,,,14.2439974,,,,,,,,,,,,16.20685102,,,0.808625337,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19669354,,,,,,,,,,,,,0.452488688,,13.75373195,,16.24933973,24.39435858,,,,,23.92919665,,,15.17894348,,,,,,,,,14.10416897,,5.006206041,,12.812363,,5.716440449,,,2.397072231,,,,,,,,,,,,,,,,6.632382757,,,9.336598371,13.86062511,,,,,,,14.10416897,,,,13.32007952,,,7.025055164,,,,,,,,,,,,,,,,21.20107962,5.68413887,
1965,,,,,,,,,,41.18416018,,,,,,,,,,11.15829623,5.445473719,,,,,,,,,23.34684686,,,,11.58536585,,,,,,23.77588175,,9.139308265,9.523809517,,,18.96409205,,,,,,,,,,,,,,15.55005067,,,17.73897679,,,,20.40287455,,,,,,,,,,15.58219178,21.59849258,,,7.207207207,,,9.754433834,,,,,,,,,14.07910576,,11.77931034,,,11.3044333,,,,,,,,,,,,15.01090777,,,10.81533439,,,,,,10.87768441,,,10.52188988,,,,,17.10268346,,23.0815793,,,,,,23.1209913,,,,17.52845002,,,0.765306122,,,,,,,15.70375335,,,,,,18.65117216,,,,,,,,,,,,,,,10.19965856,,,,,,,,,3.284541294,,,,0.442477876,,13.3380556,,15.34554094,23.62824424,,,,,23.40794725,,,14.85717097,,,,,,,,2.056451889,14.127343,,5.53791187,,13.53733744,,5.746007012,18.9354236,,2.257453083,,,,,,,,,,,8.167330677,,,,,6.055459469,,,9.586061121,14.1717757,,,23.11709339,,,,14.127343,,,8.091485681,14.67038069,,,7.913896803,,,,,,,,,,,,,,,,21.97381423,6.332453826,15.95140227
1966,,,,,,,,,,41.00858489,,,,,,,,,,12.75073543,5.998064082,,,,,,,,,23.43113474,,,,7.859078591,,,,,,22.7739726,,11.08902646,9.660449436,,,18.74872075,,,,,,,,,,,,,18.12863913,18.16241488,,,17.67525298,,,,21.9174308,,,,,,,,,,15.28822055,21.4473716,,,6.622517653,,,10.21080369,,,2.976567448,,,,,,14.73529877,,10.93106996,,,11.44649514,,,,,,,,,,,,14.50399297,,,11.32367639,,,,,,11.95744681,,,10.00240322,,,,,16.69777782,,23.14703688,,,,,,23.14517006,,,,16.0129555,,,1.975308642,,,,,,,16.5361363,,,,,,18.779375,,,,,,,,,,,,,,,10.56481555,,,,,,,,,3.430308194,,,,0.41322314,,13.76584304,,14.08827175,23.71573278,,,,,24.41255323,,,14.87051548,,,,,,,,2.057636019,13.76200202,,7.409556974,,14.09248004,,5.611483967,20.1351235,,4.144908616,,,,,,,,,,,8.561020036,,,,,8.992159675,,,9.98116394,13.64736619,,,23.12795437,,,,13.76200202,,,8.087831656,14.73601261,,,7.624810893,,,,,,,,,,,,,,,,21.65439093,7.807909605,14.89110782
1967,,,,,,,,,,37.82402724,,,,,,,,,,15.00329862,5.582903418,,,,,,,,,22.45139095,,,,8.204615988,,,,,,23.59336537,,12.19969972,9.769865598,,,20.1315914,,,,,,,,,,,,,17.67901325,19.23076923,,,17.20912436,,,,21.64316173,,,,,,,,,,15.29051988,21.00843151,,,9.131738024,,,11.90159574,,,2.975495916,,,,,,15.34896457,,10.93345874,,,11.38605584,,,,,,,,,,,,13.23186125,,,11.822097,,,,,,9.397163121,,,10.29077806,,,,,16.81003639,,22.62706099,,,,,,22.69568667,,,,15.08243997,,,3.543586109,,,,,,,16.06772185,,,,,,19.15798193,,,,5.120116309,,,,,,,,,,,11.67805368,,,,,,,,,3.41387368,,,,0.257731959,,13.27575536,,15.45034137,24.205562,,,,,24.10903841,,,15.40723617,,,,,,,,2.459889419,12.64798167,,7.289619439,,14.45420724,,6.116389549,20.41384962,,4.981198248,,,,,,,,,,,12.54681648,,,,,10.63448137,,,10.35087832,15.25989138,,,22.67648819,,,,12.64798167,,,8.087719298,14.98579545,,,7.569836445,,,,,,,,,,,,,,,,21.00396301,9.001670844,15.79702105
1968,,,,,,,,,,36.19621884,,,,,,,,,,15.48418239,6.153438202,,,,,,,,,23.86099912,,,,6.736842105,,,,,,25.43562849,,9.741484804,9.266408955,,,19.92337954,,,,,,,,,,,,,17.56098154,17.5145955,,,16.48060517,,,,21.20868225,,,,,,,,,,14.54046639,20.57881105,,,7.956104813,,,12.58823529,,,2.973760933,,,,,,15.73616268,,10.66376496,,,11.67285096,,,,,,,,,,,,13.52278801,,,11.99892931,9.144514258,,,,,12.7744511,,,10.3575271,,,,,17.1528147,,23.18671839,,,,,,22.982415,,,,16.1224109,,,3.873319663,,,,,,,16.10993658,,,,,,19.68673025,,,,6.611769799,,,,,,,,,,,11.83922119,,,,3.10296077,,,,,3.568938978,,,,0.127064803,,13.62805515,,16.08625337,23.68024133,,,,,24.25349469,,,15.31460812,,,,,,,,4.366433341,12.98606236,7.74741323,7.223553578,,15.10631473,,6.093494949,20.93566581,,5.522460938,,,,,,,,,,,14.73684211,,,,,11.56111614,,,11.51919925,15.25738269,,,22.96603923,,,,12.98606236,,,8.185667242,15.74603175,,,8.083670715,,,,,,,16.78994574,,,,,,,,,21.03581164,9.732230229,15.9962771
1969,,,,,,,,,,36.64543034,,,,,,,,,,15.99084866,5.851063658,,,,,,,,,24.17988554,,,,5.670567057,,,,,,25.05648606,,9.239898275,9.821744259,,,20.01020335,,,,,,,,,,,,,17.22553207,18.66720845,,,16.7983259,,,,21.72583121,,,,,,,,,,12.61770245,20.12530481,,,7.134231634,,,12.3938031,,,2.975557917,,,,,,16.11533847,,10.52948255,,,12.32784339,,,,,,,,,,,,14.14647158,,,12.52657086,9.588531,,,,,12.01923077,,,10.91293079,,,,,17.06814422,,23.50191977,,,,,,23.24825504,,,,17.29799145,,,3.820033956,,,,,,,16.65674549,,,,,,20.02566502,,,,6.049621406,,,,,,,,,,,13.11056071,,,,2.934278818,,,23.42207864,,3.844708877,,,,0.1,,14.62187719,,15.89095492,22.86915492,,,,,24.61048714,,,15.36986575,,,,,,,,4.056171966,13.59122844,7.708312921,7.135084719,,16.17499459,,5.431990017,20.96436059,,7.097222177,,,,,,,,,,,12.35059761,,,,,10.59768969,,,10.91955933,15.56062932,,,23.23070492,,,,13.59122844,,,8.904311872,16.09589041,,,8.218521625,,,,,,,16.77829873,,,,,,,,,21.36659436,8.161337209,15.54802555
