Country Name,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,54208,130836765,8996967,96396419,5454938,1608800,13410,92197715,92417,20481781,1874119,20127,54132,10276477,7047539,3895398,2797925,9153489,2431617,4829289,48013505,7867374,162429,109532,3225664,8198000,92068,44400,3656961,72179235,230985,81707,223284,502733,1501668,17909009,91401764,5327827,109419,8132988,667070000,3503559,5176920,15248256,1018254,16057714,191122,201770,1330787,4194711,7141241,124826,7870,572933,9602006,72814900,83634,60020,4579603,3294222,11057864,894875757,980003345,1041673567,274647228,666753356,4543658,26632891,265203956,1007586,30455000,1211537,22151284,356906098,208280083,4429634,393480,46621688,34624,44510,500922,52400000,3645600,6635229,23420,3494164,365049,616140,255338,8331725,89927,32500,4128880,66733,571813,759783611,3075605,2038636,161734348,4140181,3866162,9983967,1919643259,2299245319,379602060,120391642,87751066,259210418,48444,450547675,,2828600,21906909,7289753,175574,2114020,50199700,1628524,933102,93216000,9934564,8120082,2172300,5722372,41196,51199,25012374,269026,197123485,2120892,1804935,1118655,1448416,89698,219828794,240518397,137782356,16501,9874476,989984004,2264230620,837264,1096903448,2778550,313970,2120979,167795,3898,12328532,22461,2043664,5099368,89873,105203230,37771861,14674,2126448264,1488670,5263727,326550,21736947,97553136,480579,955514,9980,7184870,850377,659351,3659980,8156342,198624409,634138,79000,3388774,45138460,1773132,11486631,3581239,10105060,4377,2371800,809413164,551735,9151857,44988690,1133005,10155011,26269741,9769,2255858,29637450,187617086,2358000,11424189,8857716,1903990,,865064,755229793,78080,47383,18406905,119897000,2935575,572839530,4086534,7544498,3206757,1646400,117847,2317638,2766319,15440,2755967,6608000,227191484,2842718,227233184,14211632,64294,287870,4068095,1584720,7484656,336578,2833,41700,4573514,5825,3001604,883445587,308424859,1580508,27397208,2087053,1603254,209749023,474535,97553136,61574,572839530,227233184,847973,4178235,27472339,5321,10052151,6767092,42664646,1136464260,2538648,180671000,8526299,80970,8141839,8053,32500,32670048,63689,3032156070,108627,947000,5315351,17099836,3070780,3776679
1961,55434,134159786,9169406,98407221,5531451,1659800,14378,94724540,100801,20817270,1941498,20605,55005,10483000,7086299,4030325,2852438,9183948,2465865,4894580,49362834,7943118,167899,115119,3288604,8271216,94700,45500,3728954,74311338,231718,85560,228849,512688,1526057,18271000,92232738,5434294,110398,8303804,660330000,3631547,5285015,15637700,1043119,16567817,194149,205321,1381187,4274052,7291201,126125,8024,576402,9586651,73377632,88503,61036,4611687,3406282,11336336,894479503,1003194972,1043656626,278931566,674450666,4674176,27366239,267621091,1033320,30739250,1225077,22671193,359998408,213082100,4461005,407244,47240526,35074,45939,505793,52800000,3703600,6848291,23808,3552068,372436,622754,258786,8398050,91324,33700,4251911,68065,589274,769499360,3168100,2096407,165573136,4167292,3941956,10029321,1940356959,2329154652,388797693,123270998,90098396,265526695,48286,459642166,,2824400,22480371,7475349,179029,2185000,50536350,1651067,973983,94055000,10349422,8377693,2255900,5872968,42234,51196,25765673,300581,202635411,2170340,1864613,1142304,1498076,90718,225912719,246113624,140848427,16894,10111639,1012695283,2293657434,852892,1099284940,2823550,316845,2152681,170466,3996,12710587,22813,2092667,5223561,92328,108061826,38966049,15056,2152809007,1507647,5322269,325250,22211626,100147125,491140,982181,10243,7342117,875586,680757,3747758,8417821,202007500,649274,81200,3486322,46063570,1829772,11638712,3609800,10267260,4627,2419700,820690358,564891,9315834,46065229,1167120,10446618,27161052,10046,2297052,29964000,191889668,2399722,11665592,8929316,1954552,,893394,764423461,80705,51427,18555250,121236000,2998334,584939711,4218852,7769475,3295280,1702400,121385,2352370,2846601,15836,2814125,6655000,232524118,2895609,232567007,14483280,64597,295913,4191667,1594131,7519998,343346,3077,42889,4721893,5867,3060365,882807979,313062858,1597523,28224186,2159134,1658364,215629972,482852,100147125,63721,584939711,232567007,864814,4238141,28146909,5330,10346695,6983824,43206353,1140113724,2571682,183691000,8813619,82168,8439261,8164,34300,33666111,65700,3071596055,112112,966000,5393034,17524533,3164330,3905038
1962,56234,137614644,9351442,100506960,5608499,1711319,15379,97334438,112112,21153042,2009524,21246,55849,10742000,7129864,4171428,2907320,9220578,2502897,4960328,50752150,8012946,173140,121092,3353228,8351928,97392,46600,3802996,76514329,232623,89484,234552,523777,1551908,18614000,93009498,5573815,111464,8476895,665770000,3770756,5398730,16041187,1069236,17092919,197202,210141,1433346,4353623,7453535,128414,8141,577696,9624660,74025784,94203,61978,4647727,3521018,11619828,906413903,1027204700,1058119847,283238943,682397828,4809194,28112258,270110063,1060489,31023366,1241623,23221385,363200480,218087139,4491443,421673,47904879,35521,47372,511285,53250000,3760300,7071966,24307,3611428,379886,628877,262219,8448233,92481,35000,4378604,69605,606286,779465348,3305200,2155648,169567052,4196712,4019171,10061734,1974018983,2372380699,398361716,126289838,92518373,272071878,48421,469077191,,2836050,23071309,7674217,182378,2293000,50879450,1676500,1010647,94933000,10756931,8647002,2333400,6028434,43283,50961,26513030,337346,208319980,2221123,1925295,1166651,1550815,91892,232183258,251900655,143991035,17300,10352180,1036174880,2336352877,869132,1113927919,2863350,320750,2181586,176188,4078,13094890,23043,2140063,5352497,94902,111045418,40195318,15547,2192361842,1527109,5381367,323900,22697664,102808039,502558,1011327,10438,7507309,901690,700349,3839047,8692337,205198600,665119,83400,3588228,47029818,1887426,11805689,3638918,10433147,4942,2482000,832204126,578827,9485194,47198886,1202447,10749463,28077345,10329,2340349,30308500,196349130,2450322,11871726,8993985,2006675,,923320,773856028,83652,56266,18676550,122591000,3052937,597494450,4362788,8004122,3386803,1750200,125040,2388759,2931187,16255,2874215,6696000,238077562,2951041,238121604,14762137,64478,303894,4238188,1603649,7561588,350155,3367,44042,4875429,5884,3121226,894536202,317744155,1612761,29080945,2236564,1715408,221676249,491575,102808039,66233,597494450,238121604,879436,4305477,28832831,5340,10651954,7215799,43752227,1156186962,2603883,186538000,9113629,83239,8742780,8319,35000,34683410,67793,3124561005,115768,994000,5473671,17965733,3260645,4039209
1963,56699,141202036,9543200,102691339,5679409,1762621,16407,100034191,125130,21488916,2077584,22029,56701,10950000,7175811,4315127,2964416,9289770,2542864,5027811,52202008,8078145,178142,127340,3417573,8437232,100165,47700,3879191,78772647,233632,93540,240529,535692,1579375,18964000,93840016,5694247,112591,8650390,682335000,3918630,5518104,16461828,1096638,17629978,200371,216087,1486555,4432240,7623300,130860,8219,577918,9670685,74714353,100618,62917,4684483,3638110,11912800,929634719,1051972834,1083884354,287564681,690411692,4948991,28871383,272655396,1088859,31296651,1258857,23798418,366516509,223284589,4523309,436303,48582624,35965,48856,517573,53650000,3816100,7300124,24889,3672560,387635,635008,266005,8479625,93409,36400,4508444,71289,622580,789358853,3420900,2216712,173722891,4225675,4097755,10087947,2019553695,2427869417,408315722,129443834,95015295,278871888,48800,478825602,,2852650,23680246,7888910,185653,2379000,51252000,1703660,1050212,95900000,11147860,8928510,2413700,6183586,44342,50529,27261747,378756,214152054,2273352,1984999,1191796,1607168,93214,238612680,257908038,147246689,17724,10597516,1060393357,2391244202,886061,1139889997,2898950,324100,2210919,184245,4179,13478425,23165,2185050,5486319,97540,114101578,41462373,16111,2243997513,1547449,5441618,322550,23198238,105546241,513409,1042387,10591,7679465,928742,718861,3933914,8973791,208253700,681633,85700,3693985,48032932,1946240,11965966,3666537,10604620,5270,2531800,843700013,593498,9659416,48387293,1238893,11062295,29012630,10566,2385943,30712000,200997696,2504530,12065468,9030355,2060340,,954098,783141819,86847,61721,18797850,123960000,3105417,610498308,4516540,8248818,3481654,1795000,128838,2426864,3019224,16669,2936478,6732000,243848199,3009061,243893375,15045754,64237,311945,4282017,1616971,7604328,357279,3703,45176,5034639,5870,3183576,917563058,322502356,1631758,29966873,2318252,1773854,227866079,500652,105546241,68975,610498308,243893375,891948,4380074,29531362,5341,10968196,7461636,44288607,1183604156,2635125,189242000,9428906,84200,9052632,8469,39800,35721213,69944,3189655687,119552,1022000,5556767,18423157,3360099,4178726
1964,57029,144920186,9744772,104953470,5734995,1814135,17466,102832792,138049,21824427,2145004,22850,57641,11167000,7223801,4456691,3026292,9378113,2585961,5098891,53741721,8144340,182888,133705,3478999,8524224,103069,48900,3957759,81064572,234588,97819,246961,547870,1608618,19325000,94715795,5789228,113777,8821855,698355000,4071411,5643039,16903830,1125354,18175187,203762,222949,1539942,4508189,7793258,133148,8299,578628,9727804,75318337,107582,63921,4722072,3757123,12221675,952494226,1077531237,1109291332,291878870,698355574,5093848,29644875,275163380,1118152,31609195,1277086,24397010,369850237,228670583,4548543,450538,49230585,36409,50476,524891,54000000,3870300,7524470,25478,3735912,396012,641821,270616,8510429,94122,37600,4640795,73047,637835,799159797,3504600,2280044,178048131,4252876,4177631,10119835,2065153294,2483839827,418686533,132726682,97596728,285959851,49396,488848139,,2866550,24307855,8122199,188983,2475000,51675350,1730739,1102404,96903000,11511856,9222692,2495300,6331443,45392,49928,27984155,423900,220096687,2327137,2041231,1217905,1667822,94637,245147710,264174076,150668279,18170,10849977,1085299211,2446616794,903757,1165421495,2935200,327750,2240623,193556,4302,13857656,23236,2228429,5625164,100177,117271192,42771077,16710,2295948515,1569139,5503750,321250,23717785,108376349,521753,1074518,10780,7857107,956794,736381,4032364,9253827,211262900,698797,88100,3802802,49066762,2006478,12127120,3694339,10783958,5590,2585400,855187441,608890,9840401,49627623,1276331,11383364,29958687,10792,2434220,31139450,205835402,2554066,12282417,9035365,2115573,,984824,792263980,90132,67562,18919126,125345000,3164258,623943328,4677304,8503989,3580241,1841600,132766,2466671,3109571,17101,3001160,6765000,249827334,3069735,249873656,15333414,64278,320267,4327341,1632114,7661354,365120,4063,46322,5200341,5851,3246527,940205341,327271196,1662073,30881136,2402473,1833065,234169957,510035,108376349,71744,623943328,249873656,902620,4461111,30244258,5354,11295675,7719108,44796959,1210649304,2665383,191889000,9762819,85117,9369101,8644,40800,36780001,72116,3255145692,123346,1050000,5641598,18896303,3463211,4322854
1965,57357,148769974,9956318,107289875,5770573,1864791,18542,105736428,149855,22159644,2211316,23675,58699,11388000,7270889,4592601,3094378,9463667,2632361,5174874,55385114,8204168,187432,140060,3535632,8610000,106120,50100,4038865,83373533,235415,102390,253993,559996,1639706,19678000,95440988,5856472,114989,8989607,715185000,4226843,5773538,17369882,1155389,18725242,207429,230421,1592834,4580382,7958171,135266,8370,580972,9779358,75963695,114976,65044,4759012,3877768,12550880,976360559,1103859981,1135760430,296127062,706070460,5243980,30433024,277650954,1148188,31954292,1294566,25013634,373032729,234243249,4563732,463960,49818019,36843,52224,533357,54348050,3921600,7739463,26079,3801711,405258,649795,276296,8550333,94634,39200,4774984,74828,651865,808596600,3597900,2346005,182548798,4280923,4258734,10147935,2111931236,2541414856,429483620,136134348,100267070,293349272,50145,499123328,,2877300,24954865,8375795,192286,2563000,52112350,1756508,1173603,97952000,11841926,9530163,2573300,6467191,46429,49209,28704674,472032,226126959,2382586,2092374,1245104,1733307,96138,251760583,270720935,154292515,18642,11110825,1110852757,2503757914,922307,1191679434,2971450,331500,2265919,203224,4471,14230163,23289,2269399,5769215,102710,120541198,44123863,17282,2349465399,1592437,5568495,318800,24259356,111307810,526327,1107121,11023,8039217,985907,753000,4134464,9526558,214031100,716588,90500,3914118,50127920,2068379,12294732,3723168,10972912,5859,2628400,866357882,625006,10026023,50917975,1314679,11711402,30909997,11005,2485433,31444950,210865011,2594000,12547524,8998595,2172309,,1014633,801098720,93442,73631,19031576,126745000,3235536,637823175,4843632,8770094,3682879,1886900,136815,2508226,3201310,17508,3068465,6794000,256012349,3133155,256059849,15621038,64884,328939,4370983,1649160,7733853,373925,4460,47500,5373137,5814,3309583,963806224,331852935,1708631,31822656,2487975,1892596,240564863,519676,111307810,74348,637823175,256059849,911742,4547941,30972996,5388,11634837,7986062,45264552,1238612642,2694537,194303000,10116870,86009,9692281,8836,43500,37858947,74268,3322046795,127055,1078000,5727745,19384838,3570466,4471178
1966,57702,152752671,10174840,109701811,5781305,1914573,19646,108758634,159979,22494031,2276038,24473,59912,11651000,7322066,4721528,3170496,9527807,2682159,5256360,57157651,8258057,191785,146381,3586630,8696496,109348,51000,4122517,85696502,236084,107274,261664,571957,1673019,20048000,96146336,5918002,116229,9152848,735400000,4383723,5909874,17862052,1186782,19279734,211477,238655,1645076,4648353,8115487,136682,8444,585313,9821040,76600311,122876,66300,4797381,3999796,12902626,1003799539,1130947721,1165660993,299713085,712830312,5399423,31237597,279969050,1178875,32283194,1308597,25641040,376039129,240005133,4580869,476399,50330268,37283,54192,543119,54648500,3966700,7941418,26631,3870204,415478,658998,283506,8613651,94936,40500,4910790,76611,664518,817426786,3629900,2414805,187227553,4310701,4341325,10178653,2161881347,2602626879,440745532,139672971,103025423,301072561,51051,509631509,,2888800,25624380,8651162,195570,2629000,52519000,1780522,1267063,98851000,12132560,9851453,2655300,6585034,47429,48351,29435571,523169,232233929,2439197,2136617,1273458,1803689,97721,258440584,277573103,158131724,19160,11380665,1137057458,2564648351,941798,1220687497,3008050,333895,2283217,213189,4675,14595351,23302,2307959,5918592,105129,123908187,45519746,17834,2406516627,1617797,5635864,315200,24823937,114351844,526419,1139962,11341,8225919,1016093,768813,4240430,9790083,216659000,734866,93500,4027969,51217969,2131973,12456251,3753012,11172530,6065,2675900,877034871,642007,10214282,52260183,1353847,12045783,31864175,11178,2539683,31681000,216096182,2624995,12864947,8930990,2230733,,1043365,809363152,96719,79850,19215450,127468000,3321674,652144171,5015353,9047803,3789381,1934400,140995,2551580,3293954,17919,3143654,6841000,262405783,3199348,262454482,15906000,66172,338155,4411666,1669905,7807797,383820,4895,48699,5553247,5783,3372182,990927362,335704786,1774020,32789129,2574506,1952144,247044234,529328,114351844,76774,652144171,262454482,919218,4640995,31717504,5435,11985442,8263434,45684983,1269459169,2722871,196560000,10493441,86907,10022592,9022,46200,38958046,76392,3392097729,130672,1106000,5816241,19888259,3681953,4623340
1967,58044,156876454,10399936,112195950,5774440,1965598,20760,111899335,169768,22828872,2339133,25235,61240,11799000,7376998,4843872,3253215,9580991,2735308,5343025,59034250,8310226,196060,152621,3632678,8785648,112707,52000,4208683,88035815,236661,112446,269944,584098,1708306,20412000,97043270,5991785,117469,9312091,754550000,4544168,6052419,18378620,1219547,19837508,215900,247522,1696742,4712556,8266373,138140,8518,591301,9852899,76951336,131405,67687,4835354,4123100,13275020,1030341030,1158861175,1194423916,303366987,719406020,5560013,32056506,281974870,1210304,32682947,1318946,26280135,378917964,245962230,4605744,487973,50775788,37705,56308,554054,54943600,4005800,8132803,27172,3941046,426622,669243,291786,8684088,95012,41900,5047435,78412,675861,825698975,3722800,2486418,192084675,4338683,4425318,10216604,2211446261,2663895780,452449519,143347860,105865576,309101659,52117,520400577,,2902450,26317776,8947397,198751,2745000,52900500,1803324,1378995,99879000,12385706,10187487,2736500,6685961,48403,47388,30130983,577164,238418074,2496927,2174732,1303032,1878869,99370,265187879,284708606,162169520,19688,11657650,1163922580,2625561008,962279,1248850553,3044400,334995,2301220,223416,4922,14954037,23292,2344108,6073529,107481,127444919,46956208,18383,2463391488,1644949,5706192,311550,25410054,117503838,522796,1173186,11723,8417698,1047345,783917,4350456,10046321,219176000,753683,96500,4144588,52342231,2197303,12598201,3784539,11382965,6221,2724100,887433263,660117,10406007,53655783,1393824,12386868,32823970,11329,2596820,31987155,221539857,2645674,13222703,8874520,2290797,,1071166,817179925,99990,86298,19534242,128196000,3420897,666908586,5195124,9337662,3899648,1977600,145319,2596798,3387384,18309,3227835,6880000,269022493,3268392,269072404,16189729,68039,347673,4449367,1689528,7867931,394760,5362,49911,5740702,5766,3434817,1017110642,339692825,1855450,33778804,2662257,2011762,253607485,538906,117503838,79034,666908586,269072404,925233,4740526,32477994,5510,12348188,8550444,46063219,1299468908,2750091,198712000,10889499,87779,10359741,9213,49100,40072951,78505,3461619724,134181,1135000,5907873,20406863,3797877,4779825
1968,58377,161156430,10637064,114781116,5771973,2022272,21886,115136161,182620,23168268,2401142,25980,62523,12009000,7415403,4960237,3336930,9618756,2791588,5434046,60918452,8369603,200652,158648,3675448,8874552,116065,53000,4297522,90387079,237241,117897,278731,596946,1744198,20744000,97884022,6067714,118725,9468851,774510000,4713134,6201410,18913874,1253761,20393704,220574,256169,1747690,4773890,8413549,140298,8638,598495,9876346,77294314,140462,69034,4864883,4247559,13663581,1057848841,1187474694,1224481196,306934517,725725300,5725462,32881852,283866408,1242633,33113134,1331214,26944386,381605442,252116419,4626469,498944,51175507,38131,58386,565763,55211700,4042300,8321773,27693,4013050,438590,680431,299416,8740765,94929,43400,5184095,80212,686144,833895491,3802700,2560723,197119416,4365628,4509811,10255815,2262350288,2726850543,464500255,147154758,108779926,317345497,53252,531513834,,2915550,27032576,9260687,201488,2803000,53235750,1825873,1500168,101011000,12611432,10539909,2818300,6779778,49354,46399,30838302,632911,244674060,2556845,2210769,1333980,1958909,101028,272006857,292046003,166378127,20237,11937607,1191458095,2688185221,983683,1277803242,3078850,335850,2323619,233002,5194,15307267,23295,2377848,6234468,109893,131026902,48431971,18966,2521807094,1672399,5780836,307900,26015239,120739199,517481,1207104,12135,8614445,1079580,798413,4464427,10297983,221503000,773428,99500,4263925,53506201,2264623,12729721,3816486,11603921,6343,2748100,897619456,679592,10606217,55102690,1434676,12735491,33795203,11460,2656636,32294655,227201766,2662064,13609976,8836650,2351926,,1098151,824733296,103329,93206,19799831,128928000,3529839,682102192,5387822,9639846,4014107,2012000,149887,2644011,3481624,18668,3312735,6915000,275886412,3340426,275937546,16478258,70258,356551,4483915,1704546,7912273,406508,5857,51134,5935850,5746,3499370,1044230688,343594800,1945777,34791418,2750932,2071793,260246118,548817,120739199,81076,682102192,275937546,930792,4845220,33256465,5598,12725519,8841156,46411816,1330348999,2774761,200706000,11294666,88663,10702281,9427,55700,41193588,80653,3532782993,137484,1163000,6001858,20942147,3918872,4941901
1969,58734,165611760,10893772,117468741,5803677,2081695,23053,118437193,203103,23517613,2462938,26698,63553,12263000,7441055,5071930,3413909,9646032,2850657,5528172,62679765,8434172,206037,164265,3717476,8960304,119269,54000,4389248,92746607,237963,123596,287886,611297,1778870,21028000,98606630,6136387,119975,9625304,796025000,4897470,6357096,19459818,1289519,20942453,225324,263461,1797891,4833839,8561391,142581,8833,606121,9896580,77909682,149889,70214,4891860,4373127,14061724,1087054621,1216839339,1256501888,310433036,731903738,5895368,33703127,285778639,1276122,33441054,1345249,27652715,384216977,258473157,4623785,509708,51561833,38560,60146,577644,55441750,4080300,8520018,28165,4084601,451228,692407,304000,8772764,94723,44900,5320100,82040,695743,842260894,3863900,2637515,202329958,4391490,4593666,10298723,2315407668,2792171255,476763587,151087339,111758566,325676248,54378,543084333,,2932650,27764928,9585585,203369,2877000,53537950,1849658,1617427,102219000,12824614,10910677,2894800,6880623,50267,45529,31544266,688972,250999444,2620448,2250454,1366500,2043820,102599,278898334,299473694,170716523,20766,12214948,1219673698,2753244603,1005911,1308225875,3107321,337500,2343173,240837,5461,15656846,23348,2411588,6401920,112582,134704201,49945278,19617,2582528080,1698150,5861417,304300,26635852,124023275,513340,1242213,12577,8816056,1112749,812405,4582197,10549395,223759000,794588,104000,4385925,54717035,2334285,12877984,3847707,11834657,6445,2772800,907848349,700725,10813719,56598148,1476481,13092846,34786309,11617,2718805,32548300,233087196,2684150,14010339,8757705,2413396,,1124577,832280859,106814,100880,20009141,129664000,3643237,697706091,5599909,9954411,4133324,2042500,154830,2693344,3576834,18980,3386736,6945000,283028136,3415572,283080501,16772135,72501,363574,4518607,1713874,7968072,418739,6354,52365,6139054,5765,3568402,1073035646,347372826,2034902,35827089,2840265,2132800,266952916,559620,124023275,82861,697706091,283080501,937184,4953379,34055391,5671,13120587,9127855,46749289,1362854382,2795037,202677000,11694843,89565,11048256,9621,60300,42307149,82920,3606553753,140495,1191000,6097042,21496075,4045740,5111326
