Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.59157105,37.68653464,34.63420032,47.70510894,59.08396867,65.31615238,71.17383246,79.2727676,81.8070789,84.87945202,99.0729842,108.1627281,105.7364074,103.4708334,100.7518403,96.01765539,91.23398291,100.0454916,94.24283821,,
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.80316353,17.03574371,20.4127636,23.89050102,27.83657074,31.27183914,38.10266113,41.72274399,44.99053192,50.85347366,51.44026184,55.03462982,59.00893402,58.90652847,60.18867111,65.70602417,49.84260941,,
Africa Western and Central,AFW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3032354,19.68565778,20.49646861,32.57030845,37.54605451,43.57009933,50.58217667,55.37343918,63.91534692,57.86068462,61.86702356,68.65681949,71.26675455,78.77712596,81.65537484,73.28270664,63.4458369,61.30628679,67.38381788,,
Angola,AGO,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.99896717,28.91812134,29.04936409,34.87518692,49.81074142,54.26077652,69.81230164,92.86030579,135.6058197,119.9962845,96.69701385,122.1072311,122.185585,143.6068726,131.6476593,108.5829392,95.12497711,114.3346024,87.61676788,,
Albania,ALB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.61695099,89.58073425,96.27111816,125.9879761,156.5681763,165.2653351,174.5302429,222.3036652,220.4642487,186.4428101,192.0032196,211.0755158,213.7197418,236.957962,251.3582611,192.8851318,202.0133209,226.2806702,274.914093,,
Andorra,AND,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292.039429,1319.906006,1508.520752,1812.315796,2033.00354,2301.593506,2158.875732,2392.820313,2774.493408,2687.855957,2642.165527,2567.525391,2342.568359,2432.782715,2529.089844,2246.254395,2361.217529,2567.423828,2821.80127,,
Arab World,ARB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.8115238,117.0888292,116.421637,113.3148002,124.084057,137.9459012,158.9186497,186.1406953,217.1810102,240.7264609,245.6111718,283.2162145,306.1677797,340.0684587,367.3475464,350.1253854,348.0648272,391.3823333,392.5674775,,
United Arab Emirates,ARE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787.0211182,777.1306152,857.9119263,886.5012207,894.5404053,913.3560791,974.5206299,1072.705322,1303.140747,1296.977661,1314.630005,1438.472168,1403.524902,1523.883789,1588.282349,1385.53772,1298.12793,1650.018555,1817.347656,,
Argentina,ARG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.7695313,675.0578613,223.8486023,262.2865906,311.6450501,392.5887451,455.7980957,572.0401001,746.4932861,785.6702271,985.0344238,1208.391602,1368.422974,1421.657593,1286.217651,1531.484253,1153.534058,1529.616211,1127.907227,,
Armenia,ARM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.12908936,32.25933838,59.63238907,66.77802277,72.17178345,96.35484314,126.252945,172.6018677,266.3115845,252.8356018,297.2290649,330.5755615,336.3205566,396.232544,405.7288818,364.9728088,357.4577637,405.6506958,422.2826843,,
American Samoa,ASM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.5682983,563.7371216,550.0645752,602.6936035,585.7212524,626.7166748,648.2271118,694.536438,673.8375244,591.4252319,701.8178101,693.807251,727.256958,711.2297974,792.8414917,754.2418823,778.4511108,795.5598145,875.1725464,,
Australia,AUS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638.814941,1564.166504,1770.466187,2249.290771,2767.136963,3013.087646,3184.807617,3799.737549,4090.761963,3995.340088,4945.038086,5861.702637,6025.344727,5813.985352,5607.917969,4860.37207,4971.614746,5308.783203,5425.340332,,
Austria,AUT,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2269.126465,2282.515869,2497.865967,3091.240234,3594.650391,3710.397949,3882.981934,4478.768555,5057.760742,4928.987793,4800.793457,5167.817871,4966.095703,5235.341309,5393.602051,4612.824219,4709.875977,4937.977051,5326.437012,,
Azerbaijan,AZE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.14171791,19.18987465,20.59066963,23.80161095,27.38257599,35.07611465,50.24787903,75.39520264,107.3614349,129.7258606,145.8452606,176.4084778,222.9855194,239.9508057,267.3097229,226.510025,156.9957275,155.0982666,165.7674408,,
Burundi,BDI,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42834568,8.60474777,7.96743488,7.16897392,9.8821106,12.77716923,16.64111137,18.25146484,18.31873894,21.8832016,26.41332245,25.13240814,21.51785278,21.93877029,20.53392982,19.4568367,22.41840553,23.58145905,24.02547073,,
Belgium,BEL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849.916016,1879.934814,2084.719971,2828.171631,3326.450195,3420.078857,3558.54248,4078.583252,4671.56543,4653.915039,4544.996094,4943.832031,4706.618164,4947.864746,4999.188477,4290,4328.846191,4618.208984,4912.700684,,
Benin,BEN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.88687897,16.81288338,17.47441101,21.57793999,24.54393578,24.12298584,25.40521812,27.92425346,30.30306816,30.71387672,31.04154778,34.96141434,39.10080719,35.76725006,34.44753647,31.30697823,30.22834778,30.05702591,30.9390583,,
Burkina Faso,BFA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.52564335,7.70798016,8.71375179,11.74841595,17.61220932,18.08620071,21.35472488,27.96674919,29.78364944,31.59088516,33.91081619,34.8739357,34.89026642,43.79697418,39.59173203,33.51475906,40.95483017,44.40372086,40.24945068,,
Bangladesh,BGD,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.56026173,8.36238003,9.34001255,10.27598572,11.08631516,11.60705376,12.33577824,14.31881523,15.80424309,17.92318726,20.80270004,22.84561729,23.45907974,26.67387962,29.74625206,32.84908676,34.58186722,37.43084717,41.90905762,,
Bulgaria,BGR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.49745178,119.8299789,148.1479187,195.7436981,233.113327,267.741394,294.1089172,361.2349854,455.5405884,459.3002014,484.7522888,555.8641968,558.6479492,547.454834,605.2589111,521.4190674,562.3408203,618.7059326,689.9053955,,
Bahrain,BHR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.6864624,484.9073486,503.0300598,567.2379761,550.3598023,570.2942505,591.3112793,692.9683228,757.736145,785.2603149,796.3184204,805.3147583,971.3684692,1066.132446,1101.256836,1128.759155,1098.883545,1126.066895,994.1790161,,
