Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.47642417,88.69978503,86.24525013,83.64284204,84.63556445,70.67285327,68.54815246,69.38129496,70.86788281,68.56354976,77.94822627,78.11059908,76.7998291,78.18477818,76.27990163,77.5648516,83.7861525,82.43332599,85.34296869,84.60658,72.98080282,70.41928812,71.2555733,74.62640531,,
Africa Eastern and Southern,AFE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.17086501,22.85358031,23.74632231,24.44887954,26.10860728,27.58745476,27.07256304,25.82504776,26.60981847,24.94660714,31.23175114,33.5471018,31.17975373,30.53569118,30.69243655,31.57517368,31.4214981,34.70268241,39.08297268,35.76967388,33.32582256,34.46567353,34.41015485,35.19064957,33.96006978,32.20689031,29.26216362,27.96031804,29.07003282,28.71605855,24.46947441
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,7.024793366,8.097166298,9.349593306,16.86391033,18.05555539,21.41280348,18.57142854,14.20982704,15.21035643,14.98422725,11.94410778,16.1407952,18.10584979,14.74359071,14.84536122,14.27230078,14.86956541,14.8231755,13.87205375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,20.23626452,20.18737642,17.13704442,17.09960831,18.09886841,19.14984978,17.73604966,20.03557262,19.11320235,19.00273159,16.41681895,18.25140463,17.23909969,19.53644326,20.43910019,25.90204442,26.41680816,25.48580535,26.14349449,22.92753114,23.25395265,17.49813581,15.05224996,13.08214245,12.13985139,13.41218478,13.27406707,14.74929956,13.57509558,15.44787391,15.73995854,17.33744261,18.44188913,18.39429381,17.70444181,21.26245563,22.72680851,27.5125675,26.34775357,20.65475511,21.86063418,27.60508981,24.78101909,28.18358876,21.73596808,22.58384655,21.83401597,26.16555312,23.93332595,25.02640688,25.7629594,28.32762227,23.33486502,22.02458438,21.62918972,20.89180987,20.76663126,21.13514929,23.62098133,24.87888821,21.27232367
Angola,AGO,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.86127827,74.94685096,48.2167467,49.57988943,45.19957883,41.06469436,31.15729583,40.15428452,48.88967943,63.68883933,42.58051724,39.31255941,35.8599672,36.06484639,34.63789626,33.13392129,25.24567072,23.2527214,25.54182093,24.94475303,27.3316322
Albania,ALB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,23.53660059,22.28995962,24.7376437,21.55859246,20.07535159,19.1144514,16.03112475,16.12964208,19.9184766,21.472733,24.03189957,28.58570134,96.28588075,64.53950296,41.11889039,34.96976538,33.27499985,35.22833101,36.67028272,34.1693357,43.33887425,45.15760713,47.57948015,46.17318516,44.8295956,47.85931453,49.05749752,54.95419417,52.14930043,49.85412445,48.56396093,51.97704782,47.57268731,46.95742792,47.19485522,44.53364682,45.8319572,46.62445444,45.26431362,45.31390954,38.08095263
Andorra,AND,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,21.48610867,20.27127011,20.63144424,23.50716235,23.41920088,30.84374006,30.73740918,36.44878444,38.56310896,35.54118869,34.37069004,39.87733062,43.60587917,41.18938261,39.43293778,34.81967167,32.5817817,31.44873529,33.13852774,36.43676667,33.72141623,40.07174095,33.54202906,31.2078655,28.55294774,30.16450074,28.55416955,31.22182328,33.56926719,30.31219663,28.56428376,32.04448636,31.95133209,34.67226464,36.18786092,36.56368772,35.93567166,39.93471041,40.91018539,42.15719187,37.54644742,36.28144136,36.94090481,38.06808784,40.03599902,43.09254019,40.22989291,40.58494183,38.48516593,39.24764798,
United Arab Emirates,ARE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7053546,43.56831143,46.37697028,53.05488271,51.96756025,50.84287191,64.41405537,69.64565532,73.8086265,61.63511375,61.58938238,64.0028524,64.72816489,68.9314775,74.35082733,75.74463412,75.40941203,66.68065074,68.47983955,
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,7.604046979,5.994945316,9.383682891,7.890452033,5.563714075,4.150582972,4.989688034,4.997064147,5.403711423,6.398713317,4.735877405,6.607956034,6.837877358,5.70950079,6.28900906,5.978672496,5.921496328,7.326394155,5.715406434,6.329769174,6.483699779,7.371927999,6.520993021,5.83614942,4.756486117,6.27332705,6.324055248,7.57576407,6.211845636,6.579388793,4.631322407,6.078010811,8.132793114,9.313799914,10.60439714,10.09101283,11.07787165,12.77532874,12.93444601,11.55557045,11.63606955,10.27324737,13.37012736,14.7138051,16.84502668,17.30539424,17.40678527,18.28242031,18.341773,14.49614185,16.03718986,16.75694585,14.28868291,14.71675561,14.00131506,11.78057404,13.56679268,13.96931778,16.55511029,15.18793982,13.88650541
