Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,1.992564643,2.379535789,1.939830408,2.50176194,2.166980154,2.15882143,2.039522253,2.118905773,2.063837327,2.177094928,2.441888808,2.841801589,3.415561184,3.73516237,3.473579538,3.349640357,3.414532561,3.694567231,3.808650329,3.839359418,3.866263224,3.443639845,3.729718563,4.907186552,5.262970354,5.295233503,4.866113101,3.432108258,2.871707552,2.777552012,2.637292655,2.165275797,1.862011833,1.863865152,1.882070448,2.348828691,2.054724611,1.993375291,2.069175401,1.797720609,1.857875866,1.822440294,1.843672185,1.795170901,1.959022622,2.008670098,1.62973911,1.583397256,1.616018698,1.812784201,1.873676631,1.680093613,1.448880925,1.399912366,1.176440745,1.129026694,1.157931566
Afghanistan,AFG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,1.629606099,,,1.868910256,1.610824742,1.722065728,2.046086957,2.011474793,,,,,,,,,,,,,,,,,,,,,,,,,,,2.431257869,1.992065699,1.896233996,2.566267352,2.335545702,2.087412553,1.945835694,1.821345454,1.17541612,1.076949768,1.298012878,0.994575823,0.956772141,0.9452268,1.006746292,1.118230603,1.369684411
Africa Western and Central,AFW,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,1.319931819,1.316581158,1.436650739,1.471695431,1.37195763,,5.553581278,6.446817117,4.000388596,3.155024096,3.857710904,3.854093121,3.371783567,5.641638852,4.345497917,4.314707421,3.824975789,3.225345441,2.644433826,2.575454853,2.157616484,2.080790016,1.59190398,1.538873791,1.505594614,1.21747351,1.267626417,1.125226995,1.178660864,1.166399833,1.147040415,1.374991435,1.044148786,0.823775728,0.738322236,0.748265732,0.803450787,0.994971282,0.841355103,1.035771558,1.112849272,0.941045929,0.867507917,0.712423764,0.673380532,0.738187576,0.86050771,0.958767802,0.866619021,0.841374121,0.752133456,0.81586247,0.795819707,0.720021056,0.898038569,0.884019412,0.919900392,0.870644657,1.004353175
Angola,AGO,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,1.72E-05,1.73E-05,22.25,21.9805,19.43233333,17.46366667,7.1025,5.682830543,17.52258908,5.709280691,4.707392768,2.447848157,5.972268207,2.642011881,17.33469221,6.392603154,4.524353815,2.869932445,3.761479074,3.471180187,3.692240947,3.761495305,3.114054493,3.573120364,4.709610048,4.177584566,3.255660351,3.236659499,4.455239422,4.698454516,3.105426293,2.733340655,2.507985456,1.871775866,1.643740283,1.615852036
Albania,ALB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,6.052021633,5.848317053,5.651595745,5.44128199,6.117504543,5.651426199,5.626186504,5.862228923,5.617316628,5.167612724,5.88830072,5.791270422,4.670887824,3.199451067,2.54781906,2.053587359,1.379029627,1.28308078,1.238242561,1.249210099,1.246360242,1.309291375,1.320034494,1.336842924,1.381157942,1.350004971,1.567769089,1.820765344,1.984868857,1.51721714,1.558591893,1.528266338,1.487082577,1.408982101,1.346515991,1.162303864,1.103581009,1.108696386,1.16126613,1.291087114,1.535464713
Andorra,AND,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,5.257323335,3.840471999,4.759899822,6.075443275,5.868212054,5.978478238,7.355431627,8.421828111,8.269620457,8.039496427,7.559403154,8.057708343,,,,10.82501942,10.61608001,9.653917289,8.588460434,9.92276709,12.0708225,11.05845932,11.57150501,10.29626496,,8.410825273,8.049345915,7.688479299,,11.4194154,8.638480233,7.874624899,7.328433533,6.594293508,6.012720831,6.569086191,7.539053966,6.513649309,6.410545518,6.408068561,5.889572266,5.463798436,5.071386991,4.63230004,4.386650269,4.525386844,4.173969997,5.309613807,5.043016332,4.911919664,5.002109959,5.753640542,6.345825553,7.465933808,6.166162468,6.457606904,6.041802706,5.348684928,5.472655009
United Arab Emirates,ARE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.759061481,8.62972121,7.669537998,8.323722245,5.612105523,4.875531805,4.692306267,4.61147764,3.656470678,3.225974473,3.28052137,3.668022649,5.457107773,6.038592208,5.466314528,5.075556494,6.034686251,5.643651352,,,,,,
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.55,2.14,2.66,1.68,1.15,1.07,1.168,1.4,1.685714286,1.9375,1.877777778,1.807692308,1.823809524,1.848571429,1.659183673,2.041958042,3.781291173,4.008600096,4.719144058,4.673356256,3.098958333,3.465346535,2.704557935,2.738812785,2.162039144,2.299717248,2.313678749,2.28438688,2.124939223,1.880365592,1.450909212,1.506926555,1.421222233,1.422802901,1.457038533,1.473073107,1.241227264,1.140139111,1.136318022,1.220359548,1.148822677,1.184233542,1.091880479,1.060895057,0.883295359,0.847154784,0.788233877,0.792548175,0.762756475,0.886508577,0.814878105,0.764287094,0.784824721,0.83773643,0.878100919,0.850128583,0.813140078,0.856137916,0.745498855,0.706186671,0.761486737
