geography_desc,year_desc,category,commodity_desc,amount,unit_desc
Anhui,2007,Apple production,apples,403.6,1000 tons
Anhui,2007,Aquatic product production,Aquatic products,166.5,"10,000 tons"
Anhui,2007,Cattle & buffalo inventory,Cattle & buffalo,143,"10,000 head"
Anhui,2007,Corn production,corn,2500,1000 tons
Anhui,2007,Corn sown area,corn,710.4,1000 hectares
Anhui,2007,Cotton production,cotton,374.2,1000 tons
Anhui,2007,Cotton sown area,cotton,375.9,1000 hectares
Anhui,2007,Cultivated land area (revised in 1996),Cultivated area,5728.2,1000 hectares
Anhui,2007,Egg production,Egg production,1085.8,1000 tons
Anhui,2007,Fruit orchard area,orchards,100.8,1000 hectares
Anhui,2007,Goat inventory,Goats,533,"10,000 head"
Anhui,2007,Grain production,total grain,29014,1000 tons
Anhui,2007,Grain sown area,total grain,6477.8,1000 hectares
Anhui,2007,Grape production,grapes,178.3,1000 tons
Anhui,2007,Hog inventory,Hog Inventory,13342,1000 head
Anhui,2007,Hog slaughter,Hog slaughter,23631,1000 head
Anhui,2007,Meat production,Meat Production,3238.4,1000 tons
Anhui,2007,Milk production,Milk production,181,1000 tons
Anhui,2007,Peanut production,peanuts,617.6,1000 tons
Anhui,2007,Peanut sown area,peanut,172.7,1000 hectares
Anhui,2007,Pear production,pears,929.7,1000 tons
Anhui,2007,Pork production,Pork production,2025.4,1000 tons
Anhui,2007,Rapeseed production,rapeseed,1299.2,1000 tons
Anhui,2007,Rapeseed sown area,rapeseed,619.8,1000 hectares
Anhui,2007,Rice production,rice,13563.5,1000 tons
Anhui,2007,Rice sown area,rice,2205.2,1000 hectares
Anhui,2007,Rural population,rural population,37503.3,1000
Anhui,2007,Sheep inventory,Sheep,3,"10,000 head"
Anhui,2007,Sown area: All crops,total sown area,8853.9,1000 hectares
Anhui,2007,Soybean sown area,soybeans,1017.3,1000 hectares
Anhui,2007,Soybeans production,soybeans,1136.2,1000 tons
Anhui,2007,Total population,total population,61180,Thousands
Anhui,2007,Total value of ag output,total,2070.1,100 million yuan
Anhui,2007,Tuber production,tubers,482.2,1000 tons
Anhui,2007,Tuber sown area,tubers,164.2,1000 hectares
Anhui,2007,Value of crop output,farming (nongye),1054,100 million yuan
Anhui,2007,Value of fisheries output,fisheries,195,100 million yuan
Anhui,2007,Value of forestry output,forestry,100.5,100 million yuan
Anhui,2007,Value of livestock output,livestock,637.4,100 million yuan
Anhui,2007,Vegetable & melons sown area,vegetables,732.7,1000 hectares
Anhui,2007,Vegetable production,vegetables,19136.7,1000 tons
Anhui,2007,Wheat production,wheat,11113.2,1000 tons
Anhui,2007,Wheat sown area,wheat,2330.3,1000 hectares
Anhui,2006,Apple production,apples,341.828,1000 tons
Anhui,2006,Aquatic product production,Aquatic products,186.6663,"10,000 tons"
Anhui,2006,Corn production,corn,2979,1000 tons
Anhui,2006,Corn sown area,corn,693.46,1000 hectares
Anhui,2006,Cotton production,cotton,408.2463,1000 tons
Anhui,2006,Cotton sown area,cotton,392.7333333,1000 hectares
Anhui,2006,Egg production,Egg production,1235.618,1000 tons
Anhui,2006,Fruit orchard area,orchards,102.83,1000 hectares
Anhui,2006,Goat inventory,Goats,817.72,"10,000 head"
Anhui,2006,Grain production,total grain,2860.7,1000 tons
Anhui,2006,Grain sown area,total grain,6493.49,1000 hectares
Anhui,2006,Grape production,grapes,174.71,1000 tons
Anhui,2006,Hog inventory,Hog Inventory,14980,1000 head
Anhui,2006,Hog slaughter,Hog slaughter,26673.3,1000 head
Anhui,2006,Meat production,Meat production,3538.08025,1000 tons
Anhui,2006,Milk production,Milk production,128.055,1000 tons
Anhui,2006,Peanut production,peanuts,849.253,1000 tons
Anhui,2006,Peanut sown area,peanut,218.37,1000 hectares
Anhui,2006,Pear production,pears,803.652,1000 tons
Anhui,2006,Pork production,Pork production,2267.2305,1000 tons
Anhui,2006,Rapeseed production,rapeseed,1657.854,1000 tons
Anhui,2006,Rapeseed sown area,rapeseed,835.55,1000 hectares
Anhui,2006,Rice production,rice,13070,1000 tons
Anhui,2006,Rice sown area,rice,2165.45,1000 hectares
Anhui,2006,Sheep inventory,Sheep,2.08,"10,000 head"
Anhui,2006,Sown area: All crops,total sown area,9145.123333,1000 hectares
Anhui,2006,Soybean sown area,soybeans,963,1000 hectares
Anhui         ,2006,Soybeans production,soybeans,1250,1000 tons
Anhui,2006,Total population,total population,61100,Thousands
Anhui,2006,Total value of ag output,Total,1779.92503,100 million yuan
Anhui,2006,Tuber production,tubers,1244.3,1000 tons
Anhui,2006,Tuber sown area,tubers,335,1000 hectares
Anhui,2006,Value of crop output,farming (nongye),905.55917,100 million yuan
Anhui,2006,Value of fisheries output,fisheries,191.13158,100 million yuan
Anhui,2006,Value of forestry output,forestry,88.38027,100 million yuan
Anhui,2006,Value of livestock output,livestock,540.4046,100 million yuan
Anhui         ,2006,Vegetable & melons sown area,vegetables,879.28,1000 hectares
Anhui         ,2006,Vegetable production,vegetables,18173.82,1000 tons
Anhui,2006,Wheat production,wheat,9668,1000 tons
Anhui,2006,Wheat sown area,wheat,2116.7,1000 hectares
Anhui,2005,Apple production,apples,278.143,1000 tons
Anhui,2005,Aquatic product production,Aquatic products,177.5721,"10,000 tons"
Anhui         ,2005,City population,city population,16072.4,1000
Anhui,2005,Corn production,corn,2649,1000 tons
Anhui,2005,Corn sown area,corn,670.2,1000 hectares
Anhui,2005,Cotton production,cotton,324.634,1000 tons
Anhui,2005,Cotton sown area,cotton,375.7,1000 hectares
Anhui,2005,Egg production,Egg production,1220.556,1000 tons
Anhui,2005,Fruit orchard area,orchards,104.18,1000 hectares
Anhui,2005,Goat inventory,Goats,918.5,"10,000 head"
Anhui,2005,Grain production,total grain,26053,1000 tons
Anhui,2005,Grain sown area,total grain,6410.9,1000 hectares
Anhui,2005,Grape production,grapes,173.264,1000 tons
Anhui,2005,Hog inventory,Hog Inventory,20340.4277,1000 head
Anhui,2005,Hog slaughter,Hog slaughter,26294.9347,1000 head
Anhui,2005,Meat production,Meat production,3401.257384,1000 tons
Anhui,2005,Milk production,Milk production,110.491,1000 tons
Anhui,2005,Peanut production,peanuts,792.898,1000 tons
Anhui,2005,Peanut sown area,peanut,238.5,1000 hectares
Anhui,2005,Pear production,pears,638.058,1000 tons
Anhui,2005,Pork production,Pork production,2156.184645,1000 tons
Anhui,2005,Rapeseed production,rapeseed,1823.277,1000 tons
Anhui,2005,Rapeseed sown area,rapeseed,953.6,1000 hectares
Anhui,2005,Rice production,rice,12508,1000 tons
Anhui,2005,Rice sown area,rice,2149.1,1000 hectares
Anhui         ,2005,Rural population,Rural population,3333.2,1000
Anhui,2005,Sheep inventory,Sheep,2.8,"10,000 head"
Anhui,2005,Sown area: All crops,total sown area,9172.5,1000 hectares
Anhui,2005,Soybean sown area,soybeans,917,1000 hectares
Anhui         ,2005,Soybeans production,soybeans,888,1000 tons
Anhui,2005,Total population,total population,61200,Thousands
Anhui,2005,Total value of ag output ,Total,1666.19148,100 million yuan
Anhui         ,2005,Town population,Town population,19110.1,1000
Anhui,2005,Tuber production,tubers,1240,1000 tons
Anhui,2005,Tuber sown area,tubers,351,1000 hectares
Anhui,2005,Value of crop output,farming (nongye),818.5,100 million yuan
Anhui,2005,Value of fisheries output,fisheries,165.62353,100 million yuan
Anhui,2005,Value of forestry output,forestry,78.4147,100 million yuan
Anhui,2005,Value of livestock output,livestock,553.56143,100 million yuan
Anhui         ,2005,Vegetable & melons sown area,vegetables,840.4,1000 hectares
Anhui         ,2005,Vegetable production,vegetables,16712.34,1000 tons
Anhui,2005,Wheat production,wheat,8081,1000 tons
Anhui,2005,Wheat sown area,wheat,2108.3,1000 hectares
Anhui,2004,Apple production,apples,283.524,1000 tons
Anhui,2004,Aquatic product production,Aquatic products,171.3,"10,000 tons"
Anhui,2004,Corn production,corn,3207.9,1000 tons
Anhui,2004,Corn sown area,corn,662.3,1000 hectares
Anhui,2004,Cotton production,cotton,412,1000 tons
Anhui,2004,Cotton sown area,cotton,398.9,1000 hectares
Anhui,2004,Egg production,Egg production,1200.074,1000 tons
Anhui,2004,Fruit orchard area,orchards,109.8,1000 hectares
Anhui,2004,Goat inventory,Goats,951.6,"10,000 head"
Anhui,2004,Grain production,total grain,27429.6,1000 tons
Anhui,2004,Grain sown area,total grain,6312.2,1000 hectares
Anhui,2004,Grape production,grapes,165.377,1000 tons
Anhui,2004,Hog inventory,Hog Inventory,19690,1000 head
Anhui,2004,Hog slaughter,Hog slaughter,25313,1000 head
Anhui,2004,Meat production,Meat Production,3337.124698,1000 tons
Anhui,2004,Milk production,Milk production,101.876,1000 tons
Anhui,2004,Peanut production,peanuts,953.706,1000 tons
Anhui,2004,Peanut sown area,peanut,254.4,1000 hectares
Anhui,2004,Pear production,pears,601.134,1000 tons
Anhui,2004,Pork production,Pork production,2075.6742,1000 tons
Anhui,2004,Rapeseed production,rapeseed,1904.173,1000 tons
Anhui,2004,Rapeseed sown area,rapeseed,1003.3,1000 hectares
Anhui,2004,Rice production,rice,12921.4,1000 tons
Anhui,2004,Rice sown area,rice,2129.7,1000 hectares
Anhui,2004,Sheep inventory,Sheep,2.2,"10,000 head"
Anhui,2004,Sown area: All crops,total sown area,9200.4,1000 hectares
Anhui,2004,Soybean sown area,soybeans,888.1,1000 hectares
Anhui         ,2004,Soybeans production,soybeans,1125,1000 tons
